dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-24,-5.80699639,-5.375790764,-5.866456648,-5.886953546202646,-4.953582933935921,-4.809829388983484,-5.017766247593224,-6.271921438745885,-6.271921438745885,-6.31571717,-6.43445841,-5.3414614,-6.511846821,-5.144018070727405,-5.409289790385565,-5.400392261783327,-8.037365742981066
2000-01-25,-5.43504951,-5.005925168,-5.510333377,-5.890365299171465,-3.848231948223473,-4.581219646588404,-4.159812248138019,-5.875986009516584,-5.875986009516584,-5.955816948,-6.203565003,-5.1976238,-6.31952597,-4.756946256008195,-5.387464588750085,-5.389186427516626,-6.819703176479835
2000-01-26,-5.609359648,-5.153097468,-5.673509197,-5.89378837557658,-4.964338075993062,-5.204135771423401,-5.277707060605794,-6.433823773298734,-6.433823773298734,-6.4846938,-6.617094118,-5.4871685,-6.703116112,-4.388635604264178,-5.4037554456335535,-5.900131493335512,-6.843014260457759
2000-01-27,-5.322436062,-4.869360793,-5.394909528,-5.8972124057585145,-4.104629684211142,-4.844715834490816,-5.03306012293073,-6.189308401931333,-6.189308401931333,-6.253443756,-6.424710402,-5.3593962,-6.52101328,-5.472964343076008,-5.401253376963266,-5.429775237898301,-7.021037661248826
2000-01-28,-5.208198418,-4.746600477,-5.272581765,-5.900658136426063,-4.090815869489274,-4.938101811710923,-5.081188607318161,-6.196536120602627,-6.196536120602627,-6.265727798,-6.324212599,-5.3079771,-6.449609647,-5.624656119940788,-5.381216474847776,-5.519742793588732,-5.095606363006282
2000-01-31,-5.715451023,-5.305479776,-5.782512905,-5.904115160154007,-6.439035109597675,-4.972520166697411,-5.551630278515278,-6.539823860900483,-6.539823860900483,-6.527079738,-6.546789946,-5.4012489,-6.576826264,-5.099485744469733,-5.404356169560819,-5.6684902219647695,-5.536317532740926
2000-02-01,-5.857484191,-5.406097678,-5.90637773,-5.907580278868323,-5.844902511962742,-5.406599420716907,-5.841472245398709,-6.94270150444469,-6.94270150444469,-6.954455403,-6.820744514,-5.6293248,-6.883962513,-6.2052159256925465,-5.419154873242679,-5.909110732908175,-5.345259418286893
2000-02-02,-5.774248014,-5.2969881,-5.811891707,-5.911057951149656,-5.479950457471232,-5.363422806175549,-5.9000730549237215,-7.036266989493613,-7.036266989493613,-7.043708726,-6.826311164,-5.634965,-6.885002432,-5.680787401825523,-5.418151764650371,-5.6453719390901815,-5.659267984799601
2000-02-03,-6.172595216,-5.776004556,-6.252866361,-5.914548443144434,-7.080715504851181,-5.402505772368354,-6.028887076991477,-7.300585903254261,-7.300585903254261,-7.2323427,-6.980661371,-5.6944911,-6.971006714,-4.601052803415191,-5.428952345581358,-5.70584174610873,-6.761681709126351
2000-02-04,-5.936763365,-5.571729627,-6.045311208,-5.9180462396576425,-5.9227046701690265,-5.12488359626134,-5.653217805034766,-6.987019410982772,-6.987019410982772,-6.978024933,-6.691439833,-5.5683912,-6.790255125,-5.494804006780332,-5.426541435243984,-5.481085456159301,-6.6420016712488055
2000-02-07,-5.75631877,-5.412322282,-5.877583296,-5.921557907410373,-5.670029506913805,-4.890791463347593,-5.291957938355591,-6.737581278801599,-6.737581278801599,-6.759872894,-6.52789317,-5.4489621,-6.625409351,-4.97021595026089,-5.42409984565978,-5.484002542471031,-6.210490343908799
2000-02-08,-5.424818012,-5.075865194,-5.556360022,-5.925080296644996,-4.58208207313623,-4.655257921622916,-4.512315740644017,-6.378394120124817,-6.378394120124817,-6.440363567,-6.205334015,-5.3103252,-6.431603307,-6.081090563906385,-5.424549401951264,-5.471573913434119,-7.523450136585157
