dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-5.126795546,-4.807318581,-5.948855566,-10.301370635668883,-4.708606103158031,-6.677186851,-7.559691817865046,-4.950173395,-4.28108059717526,-5.505508061690282,-5.265344655,-5.3235064,-6.653469786,-8.386383421758875,-7.732319558345921,-7.552380909250751,-9.165371546875962
2000-01-04,-5.077683313,-4.761923099,-5.994662637,-10.314786081089824,-6.556925162806174,-8.753099263,-5.529813330176117,-5.577436817,-4.469756079592896,-5.627907979881552,-5.239331497,-5.3295506,-6.678936134,-7.328995825586861,-7.72282418779338,-7.560866405979866,-8.407772059470886
2000-01-05,-5.800557854,-5.42644112,-6.257204097,-10.321267634779998,-5.501529701435357,-6.65004775,-5.570019693224992,-6.224802551,-4.487044809163312,-5.799474521053507,-5.537488984,-5.4995583,-6.769985423,-9.164488853693484,-7.719338618293245,-7.565331181062132,-11.68069952594885
2000-01-06,-5.535554833,-5.145738288,-5.995225761,-10.33225193361126,-6.724763383286733,-8.635260085,-5.362532932193813,-6.411699113,-4.376291010121011,-5.447506568541206,-5.318473459,-5.3244826,-6.620029349,-8.056192983572785,-7.6867766025684,-7.512523641701242,-9.440444108787608
2000-01-07,-5.663372498,-5.308203656,-6.815328579,-10.106809580767628,-7.148597694980389,-7.178387299,-6.140201011863582,-6.228310811,-4.530027975652741,-6.955261413189191,-6.765097343,-6.7155596,-7.777615175,-7.940834473148194,-7.692914182915063,-7.799180893736413,-7.958120225357304
2000-01-10,-7.103958761,-6.643612203,-10.14901549,-10.109426662678102,-5.3640202782704325,-7.00617069,-7.606350101318173,-6.038439708,-5.143113347661414,-13.717173439056277,-16.30727161,-15.8898192,-15.00287051,-8.490647046141186,-7.798057340172269,-9.94622938590489,-8.33357600368034
2000-01-11,-7.321795606,-7.103795957,-9.366353794,-10.116702684607896,-7.941671891238919,-7.086758642,-7.807933333517287,-5.804081448,-5.180764168279983,-10.90477756713322,-13.06790158,-12.5907937,-12.16518852,-7.907216322029187,-7.754411869047757,-7.714143567567924,-9.166122841763285
2000-01-12,-6.549769306,-6.317568467,-8.145053954,-10.124248734887802,-6.160977735720031,-7.81302164,-7.144112657546732,-6.076552856,-5.09016648849247,-8.682919132699922,-10.27224445,-10.0178834,-10.04091786,-8.659815314503822,-7.750540602625964,-7.649782796717931,-9.373012361629527
2000-01-13,-6.33040923,-6.225895677,-7.598918712,-10.131832329357632,-7.007499654626392,-7.061043144,-6.792434207231499,-5.863658393,-4.795446150869489,-7.615619275973202,-8.541212232,-8.3167868,-8.626496378,-7.361978283634502,-7.735984791275432,-7.627728555254947,-9.975929708258052
2000-01-14,-6.166179745,-5.99838374,-7.745171297,-10.139432250386085,-6.148084125495241,-9.931103342,-6.99361904430235,-5.638372422,-4.924852979025701,-8.014347315140641,-8.128621626,-7.9585408,-8.527453144,-9.419027107512084,-7.717595595489664,-7.812984900448998,-12.04680554044805
2000-01-18,-5.71823038,-5.503497155,-6.995165617,-10.147054904033451,-5.586462210250719,-6.870722199,-6.304635169219556,-5.895364588,-4.60967588576791,-6.856879574852746,-7.002203093,-6.3427382,-7.685022132,-6.334967799150514,-7.7101694785419905,-7.610027419715853,-9.78714179458229
2000-01-19,-9.184853808,-8.858278824,-8.486192979,-10.154707490426029,-7.534004598021434,-6.87,-6.935811601463889,-6.036446323,-5.139947700653165,-8.270354769636542,-8.988197877,-8.2712184,-8.844267303,-9.101825693273655,-7.709404115971611,-8.003346684398185,-9.04033967234892
2000-01-20,-7.924770739,-7.645857109,-7.679129962,-10.162374524254048,-8.713693439479158,-7.207330663,-7.22376027457021,-6.49105488,-4.869130098884706,-7.362942930088654,-7.43664184,-7.0976473,-7.954643415,-9.278602839479069,-7.689949074853951,-7.587972278220501,-9.77669482959024
2000-01-21,-7.198004251,-6.939339097,-7.606184413,-10.17007598085708,-6.700068398861745,-7.079848122,-6.771229430054695,-6.720828095,-4.684020185872068,-7.549491473296372,-7.208658481,-6.940467,-7.866911625,-8.065144481739996,-7.67610032318771,-7.70732212712613,-9.326844031339323
2000-01-24,-10.14535775,-9.807466367,-8.923237826,-10.177797783790826,-11.9475116245358,-7.32409806,-7.224310086751693,-6.478927589,-5.138216857209553,-8.6763879604468,-9.091549017,-8.3222797,-9.00437599,-9.443581217525663,-7.67299444834507,-7.977322813098796,-9.888245024075689
2000-01-25,-13.42004125,-12.88426069,-10.46284577,-10.185543904122405,-16.958003106691113,-7.32,-7.178937095765833,-6.474529283,-5.259076634896758,-9.926995914022983,-11.29699518,-10.0063031,-10.33273763,-6.200151624543119,-7.740290919010279,-8.249866757131514,-10.19375144691735
2000-01-26,-10.94635046,-10.55121259,-8.894549732,-10.193312470989277,-10.646574236150622,-6.974827448,-7.227517106295871,-7.310744568,-5.398109384545601,-8.046226845615806,-8.942343445,-8.1938543,-8.764634849,-8.207909482992646,-7.7341114765098995,-7.58197530659895,-10.214544930663497
2000-01-27,-9.185987552,-8.865475557,-7.84911433,-10.201110229769531,-10.487569508129312,-7.112562438,-6.88270992114113,-7.043041032,-5.761514981847663,-6.92099427683416,-7.50837798,-7.0217847,-7.782935475,-8.65412193841891,-7.737080314567053,-7.582902674724752,-8.069435106372154
2000-01-28,-8.836664063,-8.539217366,-7.688808323,-10.184660428672586,-10.029893920029108,-7.305776547,-6.600392748754546,-7.426981263,-6.684311492436305,-6.822948520105262,-7.013640292,-6.6397659,-7.558014823,-9.488086126246552,-7.722960119928451,-7.593831105210895,-7.417599878641075
2000-01-31,-9.860431197,-9.447228541,-8.219179052,-10.19239964360516,-11.859678207835012,-7.242416222,-6.798514287874903,-8.234929023,-6.63183528347589,-7.43935300313355,-7.649330586,-7.1129729,-7.878017826,-9.475719204607472,-7.741036290341011,-7.730979714702373,-9.407995713052804
2000-02-01,-8.383271317,-8.065213974,-7.455087085,-10.200165246595493,-9.691436878504748,-8.510202649,-6.474965135002808,-7.910576708,-6.302526530846915,-6.759775513654001,-6.615443555,-6.3605633,-7.361062701,-9.430690118573503,-7.739804279854252,-7.560417300559767,-10.157712286013062
2000-02-02,-7.516101945,-7.264180606,-7.510768575,-10.207955934374665,-8.126310761023845,-7.060689014,-6.638333112337628,-7.60239182,-6.478840542828834,-7.28234638961341,-6.899346259,-6.6578675,-7.632015434,-8.996485542104063,-7.720465063335456,-7.703037578265335,-10.825125416245674
2000-02-03,-6.901826502,-6.678805388,-7.526774301,-10.215770901657384,-6.888242155747601,-8.468647343,-6.75818568862586,-7.340204771,-7.160764083201075,-7.547353417200378,-7.037338627,-6.7623304,-7.697801881,-7.030354772119411,-7.708251935331575,-7.699820463209738,-6.79354463504536
2000-02-04,-6.677714208,-6.454090597,-7.149566341,-10.223611632450089,-7.231426459315147,-7.237163649,-6.475219092139795,-7.38715427,-7.664722293446115,-6.898371961739686,-6.47096737,-6.2514338,-7.31450617,-7.593394510265234,-7.70221946218289,-7.569719997307619,-10.049023115185353
2000-02-07,-6.300365494,-6.080030569,-7.226507428,-10.231473033657617,-6.302834027459681,-7.290517301,-6.601990201350574,-7.709290519,-7.252264249187251,-7.26323579321072,-6.622413875,-6.4605636,-7.523568363,-7.747483131127653,-7.6287033460548,-7.641928122498014,-8.029713739425688
2000-02-08,-6.050586382,-5.819772515,-7.295604741,-10.239363405047596,-5.790312968952365,-7.29,-6.492438765495296,-7.528607124,-6.821593071842971,-7.484406252592428,-6.830085469,-6.6028743,-7.611935631,-7.869867601379789,-7.629759634019764,-7.653086230536315,-8.795793809469108
2000-02-09,-8.93353634,-8.52321673,-8.414884903,-10.247279267212573,-9.76421585749054,-11.20384521,-6.871974146661848,-7.356164451,-6.585888221051978,-8.3152221660357,-8.361699228,-7.7339535,-8.531363854,-8.473207444139598,-7.668521894866319,-7.841888184916183,-9.006482484500998
2000-02-10,-10.71356042,-10.20903379,-9.137798884,-10.255222449175626,-6.70479144078652,-8.968250699,-7.027425085751818,-7.258439747,-6.837596508276465,-8.729728547235498,-9.080317355,-8.238695,-8.814184013,-7.665178547112296,-7.706788075367156,-7.843180477034549,-9.54589547521309
2000-02-11,-9.772470289,-9.394175228,-10.18300483,-10.263189989610757,-8.723585072082694,-6.930422855,-7.305441157548687,-7.211445975,-7.17616237908944,-10.88109612501028,-11.86761586,-11.3304207,-11.69563095,-9.64964431027326,-7.716354729120351,-8.558175053524304,-6.999243280687411
2000-02-14,-10.71696285,-10.36758482,-10.12726424,-10.271181041193786,-11.0880217956176,-8.404442647,-8.036793832532236,-7.649707821,-6.7930825140357225,-9.946709948308513,-10.68624596,-9.9965557,-10.41710205,-8.0862468867969,-7.7361792901369775,-7.799158794686281,-11.530619895742875
2000-02-15,-9.081536185,-8.817422427,-9.036718916,-10.279201741422543,-9.592017716202434,-12.82822151,-7.82953402686476,-7.398558697,-6.393878049476025,-8.672633724826346,-8.710348674,-8.3596192,-8.952277515,-9.069560925693636,-7.735465886590357,-7.623593596705876,-9.372401034943604
2000-02-16,-8.236027969,-8.01253621,-9.149264592,-10.28724746379221,-8.032605594246377,-7.377141482,-8.083805494904867,-7.162275628,-5.992951808767902,-9.2330331594651,-9.20418431,-8.8477,-9.438705568,-7.393681467809791,-7.740958718757343,-7.98152159231002,-10.752537001917617
2000-02-17,-7.505020351,-7.29193541,-8.864063884,-10.29531691482513,-6.34429963266849,-7.360942562,-7.433229505794275,-7.0476825,-5.699515719873372,-8.982828389433752,-8.793541684,-8.3630004,-8.953708652,-9.050981210032212,-7.73617890664194,-7.805433931909834,-7.164076907955093
2000-02-18,-6.91035246,-6.687834865,-8.441511682,-10.303415853808302,-6.215446778474288,-7.364812146,-7.818426566133301,-6.820052107,-5.342307410928052,-8.500465033635185,-8.09520836,-7.6935501,-8.366846961,-8.297154608510056,-7.734204142747258,-7.729950893385189,-9.062376522713238
2000-02-22,-14.61573606,-13.7706004,-11.60568354,-10.311498036075902,-17.56893456886987,-7.364812146,-9.868072497650871,-7.225482152,-5.906422161978102,-11.538347367397684,-13.83327395,-12.1555066,-12.75024602,-10.30622091713379,-7.840477157283446,-9.013508412012827,-9.32853054210116
2000-02-23,-11.93357961,-11.33079365,-10.100299,-10.319690059113466,-8.541370717330324,-7.734186683,-9.00767739858192,-6.960406535,-5.734920234589135,-9.611962428880668,-10.66354116,-9.8000608,-10.5051646,-7.605038608327555,-7.839060932982252,-7.734945225524068,-7.8939085137750835
