dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-5.543383866,-4.848125946,-5.084171998,-6.631512699309561,-5.014460772792948,,-4.641316131869052,-5.180537027,-5.270550407939339,-5.270550407939339,-5.310976323,-4.9022695,-5.851772549,-6.011447527754177,-5.787960236830503,-5.64544375326996,-8.122601309255518
2000-01-04,-7.251216261,-6.461480052,-6.805250462,-6.637678636804904,-7.783673021130612,,-5.849690899456486,-6.553503796,-5.830764930842033,-5.830764930842033,-6.051265302,-5.8553533,-7.251036868,-5.742466251201487,-5.889661284159798,-6.768899326558126,-7.909918922359215
2000-01-05,-7.295427626,-6.551330542,-6.91848859,-6.643871243400231,-7.0317229482094765,,-5.884800435016037,-6.876948567,-6.11236825014679,-6.11236825014679,-6.25969893,-5.8512536,-7.232601006,-6.111619746528845,-5.900485526464727,-5.905167380023041,-8.034028637019134
2000-01-06,-7.123529815,-6.40265099,-6.742151712,-6.650093165334729,-7.768765684047261,,-5.765137696894132,-6.685346357,-5.997143029296957,-5.997143029296957,-6.232098634,-5.6993346,-7.016406267,-5.00495805771747,-5.88789241841075,-5.692552195872399,-8.100190414092507
2000-01-07,-6.955368149,-6.25273884,-6.566634637,-6.656343962652959,-5.673858228809271,,-5.640560309338786,-6.433265581,-6.056243082901682,-6.056243082901682,-6.243522335,-5.5884342,-6.856264867,-6.465747165808118,-5.888114928508525,-5.739945601935554,-7.443516044046867
2000-01-10,-6.797454692,-6.112849604,-6.407514847,-6.662616814664635,-6.207003481133569,,-5.648092452885324,-6.224239085,-6.041111886397588,-6.041111886397588,-6.138475607,-5.5039811,-6.732293269,-6.194829763374597,-5.856091804844545,-5.76584131607934,-6.090397911650321
2000-01-11,-6.770792691,-6.065073184,-6.360565923,-6.668927446452793,-6.684399580951657,,-5.642504719187942,-6.325882261,-5.804840189506264,-5.804840189506264,-5.822752275,-5.4551843,-6.662946872,-5.462733480019607,-5.83851367948093,-5.745489433228494,-8.0471098527451
2000-01-12,-6.821252542,-6.113349012,-6.427300454,-6.67526050552607,-5.553916023608712,,-5.729538712463639,-6.572497792,-5.856937848284581,-5.856937848284581,-5.724329503,-5.4592567,-6.659780645,-8.388895757888674,-5.796013819914229,-5.790445463295147,-7.971192117238655
2000-01-13,-6.656023918,-5.966937281,-6.251814998,-6.681618117963078,-6.443916951138273,,-5.558336488478264,-6.277274863,-5.786931627881556,-5.786931627881556,-5.743492364,-5.3210499,-6.457917043,-6.88963134277371,-5.782756280632311,-5.614452294909628,-6.948328042403405
2000-01-14,-6.503738163,-5.832042256,-6.096408033,-6.684477243458572,-4.981432768263329,,-5.535938272465298,-6.057644395,-5.776021277833243,-5.776021277833243,-5.699928274,-5.2320524,-6.324681266,-7.357620424789188,-5.756475677283334,-5.6301643300696345,-6.28673910996609
