dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.032639372,-3.432526346,-3.684763783,-4.09950995862431,-3.278698262455689,-4.1113769339904,-3.895617750575746,-3.866310858144365,-3.866310858144365,-4.306890043,-4.122137361,-3.7964575,-4.438059414,-4.019381333520034,-3.920126787013582,-3.84529971900344,-4.685522720077838
2000-01-04,-4.68183683,-4.258695817,-4.345058355,-4.10118029576713,-3.3884252266094133,-3.737745778940561,-3.920411970904731,-4.52852701283726,-4.52852701283726,-4.645278015,-4.548592064,-3.9898501,-4.727359446,-4.093928863716374,-3.928287159727844,-4.152570937280941,-4.24736737824042
2000-01-05,-4.957616738,-4.504135999,-4.55877337,-4.102855460923671,-3.839299451396315,-4.135289962516539,-3.953174017706933,-4.783480384342034,-4.783480384342034,-4.785693021,-4.553826267,-4.0491139,-4.797998295,-3.580541827969252,-3.945663419595095,-3.991185417890335,-5.106753234688783
2000-01-06,-5.522123915,-4.970481951,-5.036269881,-4.103108106856848,-4.293739393400954,-4.895207673926198,-4.274244145437798,-5.712975014361032,-5.712975014361032,-5.601189377,-4.976212754,-4.791416,-5.814732512,-4.7991482236407945,-3.9967854456626912,-4.942197551692594,-5.085340686486011
2000-01-07,-6.044756096,-5.258924722,-5.370359735,-4.10335754447544,-4.708779637757543,-4.943312324834886,-4.751771062052256,-6.815247744504586,-6.815247744504586,-6.855863619,-6.130392646,-5.4244192,-6.892870537,-3.637806513743156,-3.977782933258595,-4.86443020794573,-4.270204286245288
2000-01-10,-5.554812306,-4.59248765,-4.885300565,-4.105046182665343,-4.583463662377234,-5.11464930011038,-4.309126931787685,-5.915913879497242,-5.915913879497242,-6.080897852,-6.054135671,-5.2613346,-6.520120165,-4.431650640979866,-3.974888099936309,-3.928246865887495,-3.54955842231617
2000-01-11,-5.317070594,-4.53963704,-4.822774953,-4.106728312617869,-4.19445290966479,-5.067677197067447,-3.668009875443624,-5.595536585841752,-5.595536585841752,-5.875814314,-5.898939642,-5.1586533,-6.311306624,-4.296800245719843,-3.9844660276166217,-4.010934811616225,-5.351201006326253
2000-01-12,-4.946164694,-3.973307697,-4.378285221,-4.108424655882488,-4.640930791275928,-4.984683908853787,-4.234428697361446,-4.771292328665092,-4.771292328665092,-5.378797647,-5.534649997,-5.0031172,-6.027951365,-4.461917379465986,-3.9756538175114975,-3.9303055024711657,-5.365618448975276
2000-01-13,-4.661528958,-3.759719241,-4.152769624,-4.110116840160416,-3.8949013231320553,-6.033550841238525,-4.576570567444895,-4.462059308662228,-4.462059308662228,-4.802164075,-5.372058698,-4.8658213,-5.789556761,-4.0430443364508735,-3.978070021559296,-3.93416820176892,-5.467129240647125
2000-01-14,-4.69456267,-3.799229605,-4.145631947,-4.111818979769987,-3.8093743780883615,-4.7324714433239246,-4.26857953122655,-4.596519543130433,-4.596519543130433,-5.078652073,-5.193433792,-4.8574168,-5.770985791,-3.8550821569002935,-3.9821122215247695,-4.143804971627402,-3.968793059986909
