dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-5.639407994,-4.454356772,-5.129042051,-5.5932338111199496,-5.406030887259055,-5.554503864,-4.496181112723211,-5.230914957,-4.345774394939925,-4.345774394939925,-4.098464891,-4.2454931,-5.060851718,-4.321180169712657,-4.635198501740552,-4.480572712281977,-4.753887429035214
2000-01-04,-5.29563337,-4.211820953,-4.86974943,-5.595816497142289,-4.864443467506389,-4.582426652,-4.41974776634346,-4.957958083,-4.17861146375861,-4.17861146375861,-4.0326642,-4.0813718,-4.902278547,-4.940700461824846,-4.632230848062295,-4.456925620891902,-4.999203247581502
2000-01-05,-6.675066714,-5.230265674,-5.641507175,-5.598402571362345,-6.346792877018711,-4.362485435,-4.669565262460557,-5.70322218,-4.683862973269658,-4.683862973269658,-4.512225048,-4.5727915,-5.415300406,-5.405845549626898,-4.670431372751852,-4.910737069885069,-6.320203746440573
2000-01-06,-6.065496579,-4.813283686,-5.312369215,-5.600997451953813,-4.625861861971732,-4.166918237,-4.847437453717351,-5.222108959,-5.058635978980353,-5.058635978980353,-4.897725414,-4.8116137,-5.775805044,-5.032733102187666,-4.692173578125645,-5.007199745607716,-5.493837869623427
2000-01-07,-5.610865512,-4.489099388,-5.027974601,-5.589515931662946,-4.176652099385789,-4.415505383,-4.708088648028753,-4.942654243,-4.716162042938187,-4.716162042938187,-4.532055887,-4.5898045,-5.496065861,-4.514678424068519,-4.673017820841171,-4.517611308633164,-5.919322607665726
2000-01-10,-5.274601698,-4.238580555,-4.782580419,-5.590138950508632,-1.6647792633825844,-3.401254081,-5.428023733095109,-4.348912724,-6.449000531316536,-6.449000531316536,-7.785457261,-7.8138363,-8.089279395,-4.340011599118167,-4.814398402939964,-7.007725966255317,-6.392305767899016
2000-01-11,-6.225982172,-4.974941065,-5.366146167,-5.592675037401736,-5.501458983971943,-3.820818894,-5.344892336931226,-5.023167146,-6.143686944142883,-6.143686944142883,-6.909165052,-7.2122506,-7.758948862,-4.973710909926675,-4.844071150812814,-4.986023083282626,-6.085443831526532
2000-01-12,-5.730169763,-4.614537657,-5.074413523,-5.595220690938414,-4.702262642489647,-3.436312841,-4.741559109705626,-4.793507554,-5.403939206741468,-5.403939206741468,-6.003046747,-5.9579281,-7.086687435,-6.226903056503255,-4.828551414962528,-4.6888656729855445,-5.231433501823788
2000-01-13,-5.362585301,-4.33534275,-4.822627771,-5.597533937550171,-4.788794226753666,-3.425247268,-4.95302916904963,-4.525054234,-5.18415994217426,-5.18415994217426,-5.49061449,-5.389717,-6.659729552,-4.961478999606015,-4.829839614172784,-4.817203828301194,-7.578421300896695
2000-01-14,-5.092144399,-4.120292945,-4.605612272,-5.60032618983568,-3.714222878871394,-3.966627775,-4.663786610004019,-4.360380839,-4.732314294323416,-4.732314294323416,-4.935018885,-4.8311109,-5.999428459,-4.909157089771385,-4.829850226313173,-4.693355201938237,-7.079449570975041
