dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.286224409,-3.81691437,-3.95971445,-5.769368649518046,-4.393239776656426,-5.163456311400477,-5.450397243157753,-5.200499050511428,-5.200499050511428,-9.329616609,-5.106452059,-4.4147272,-5.172532373,-5.700040950164407,-4.822991323899509,-5.166228834047001,-6.4170158059810944
2000-01-04,-5.881616773,-5.383051371,-5.600409501,-5.985660612562851,-9.976136678720586,-8.806336422275683,-6.177533374170345,-5.954470587142724,-5.954470587142724,-9.330796041,-6.192546895,-5.16083,-6.327515893,-5.848746624100076,-4.911623531407022,-5.80946444274189,-5.5360209875667445
2000-01-05,-7.27613503,-6.677781855,-6.989317981,-5.989120049354511,-9.710592991886983,-10.583978916498657,-8.789561742629433,-6.85695860326253,-6.85695860326253,-9.642000282,-7.183823788,-6.7845478,-7.408503556,-5.004107968741484,-4.986474658594697,-5.887427397612061,-6.26382673069351
2000-01-06,-6.834777933,-6.28728314,-6.627453816,-5.992590441490942,-8.29365785470193,-8.150231121136942,-6.369192393425281,-6.878198690044393,-6.878198690044393,-9.551582937,-7.171865996,-6.2251372,-7.200023046,-5.881622302371901,-4.98210240314078,-5.147093836491075,-5.795814472814983
2000-01-07,-7.883933788,-7.234130799,-7.659628354,-5.9960748130987405,-8.049169510943663,-10.262261059440728,-7.743567379203368,-7.450316231970029,-7.450316231970029,-9.788495359,-7.618904933,-7.0283435,-8.019958899,-5.2352008475291765,-5.024750953124487,-5.766696098098283,-5.573955895862117
2000-01-10,-7.72308807,-7.07622591,-7.516776043,-5.999505574779019,-6.85189254734749,-11.661273089062211,-8.708035346028234,-8.450328255498029,-8.450328255498029,-9.746918619,-8.642978782,-7.7393566,-8.880020098,-6.271618679664616,-5.009909067687847,-6.016566441231593,-6.084216121141765
2000-01-11,-7.234244556,-6.641333525,-7.114320607,-6.003018164311756,-7.087722019595055,-9.70113785042117,-8.392074398873014,-7.630750769796871,-7.630750769796871,-9.974533689,-7.929142202,-7.1224374,-8.363964412,-4.074208227573577,-5.010514978975437,-5.0836087310123625,-6.133076565626461
2000-01-12,-7.393050541,-6.802706553,-7.321366447,-6.006149334304355,-6.992221480757248,-8.762575594406654,-6.290625837776456,-7.524929330148999,-7.524929330148999,-9.955843601,-7.675811408,-6.8255755,-8.233749666,-5.166405172640546,-5.03970658017238,-5.299770106402099,-6.420605785036698
2000-01-13,-7.04713128,-6.469249766,-7.010915641,-6.010085936356156,-5.134891486693657,-8.135277725353518,-7.499282290563265,-7.06677445048862,-7.06677445048862,-10.00556658,-7.277042235,-6.3376687,-7.847037581,-5.585483155834526,-5.044455149472476,-5.110631145592341,-6.349186933829164
2000-01-14,-6.613030917,-6.084691422,-6.628444065,-6.0120004638229965,-4.348566729826933,-7.870619863057886,-5.074964803340711,-6.829053844953694,-6.829053844953694,-9.919833932,-7.002020239,-6.0251673,-7.551345548,-4.75833506884508,-5.045024481263937,-5.186748494755229,-7.656018383372795
2000-01-18,-6.240506512,-5.731604571,-6.276991488,-6.016191613207744,-4.389541157194163,-5.582097214573898,-6.6723644176389145,-6.2977603836270974,-6.2977603836270974,-9.834696553,-6.528139101,-5.5851406,-7.197984061,-6.5185705002859855,-5.039889874517229,-5.0766197039460765,-5.990493653069466
2000-01-19,-6.485475051,-5.94546537,-6.506749167,-6.0207896472410685,-6.295359504213795,-6.127818054335728,-6.735378396028214,-6.359233217305519,-6.359233217305519,-9.760705696,-6.43834604,-5.5609639,-7.14236166,-4.482674180280545,-5.054793612466647,-5.256463847744108,-5.6565918541041365
2000-01-20,-6.16586279,-5.661489507,-6.211221799,-6.023332593011039,-5.781505924071714,-5.661873483993626,-6.023796501065116,-6.400181805318301,-6.400181805318301,-9.646782945,-6.40901271,-5.4367914,-7.002092179,-5.040529030038404,-5.044352141067368,-5.2457572284654646,-7.679404541357359
2000-01-21,-6.222249538,-5.707105882,-6.264331933,-6.019426395331575,-5.996280982718442,-5.486996805171892,-6.634155597132175,-6.271602238401266,-6.271602238401266,-9.480767576,-6.186427668,-5.294077,-6.859113428,-4.972178541596032,-5.053148853790916,-5.1715540569418295,-6.2246521169989855
2000-01-24,-6.175696205,-5.641776257,-6.202560738,-5.905904341278246,-5.514562580958227,-5.038046866063887,-6.4191536207869815,-6.107202025810182,-6.107202025810182,-9.428950456,-5.978529578,-5.1353076,-6.664175816,-4.76859880904337,-5.065908392674745,-5.1373883735591015,-6.720721117171226
2000-01-25,-6.825040123,-6.194461412,-6.778243768,-5.908285659025331,-6.652869781571455,-6.453819520594801,-6.7847908068915,-6.454183051927596,-6.454183051927596,-9.188133611,-6.296080499,-5.5097561,-6.938123866,-6.611527039448998,-5.098621364587022,-5.440327353438078,-5.403217441539843
2000-01-26,-7.369587875,-6.629127897,-7.243471714,-5.910894674431168,-5.802565543824325,-7.137848286294656,-7.084101127505569,-6.722248257001174,-6.722248257001174,-8.964012526,-6.515274175,-5.7550615,-7.124021713,-5.514934784074967,-5.133648589938857,-5.440996945727656,-5.782019442522031
2000-01-27,-6.913367548,-6.258558202,-6.869246202,-5.913511098044397,-4.668150989934537,-6.689543103812668,-6.909266747756332,-6.73057964564144,-6.73057964564144,-8.94284527,-6.535791835,-5.5802514,-6.987557555,-6.477953200043433,-5.135924093436616,-5.267866400352528,-5.614602498792235
