dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-7.752385945,-7.310969521,-6.629983198,-7.218092142830241,-8.203237795333767,-4.711608176,-6.9496902205193605,-8.61770451,-6.937922279378183,-6.937922279378183,-6.734765811,-6.3144668,-7.458958759,-9.76143670180169,-7.152733100774518,-7.163856479663787,-8.768089065166569
2000-01-04,-7.954051946,-7.319593141,-6.532345994,-7.219964679888569,-10.301828435165598,-6.583041602,-6.917202286972433,-8.609798091,-6.837511025344557,-6.837511025344557,-6.55922217,-6.3484732,-7.487290728,-8.440719449022591,-7.154595005441668,-7.356563431088192,-10.374516054684667
2000-01-05,-8.697433633,-7.576291191,-8.271859587,-7.860144362856169,-4.783216472867398,-7.977709472,-5.513352856312411,-8.900333031,-8.168515048507533,-8.168515048507533,-8.097761722,-7.2876183,-9.421198902,-8.739583806062257,-7.283923193245355,-8.492932872218654,-10.212628308308291
2000-01-06,-8.30669351,-7.497457915,-7.885952966,-7.862262046048221,-7.344320999505285,-7.933488674,-8.940424682195177,-8.842054409,-7.5387417771292675,-7.5387417771292675,-7.523177999,-7.0601611,-9.336847448,-7.7343862424577585,-7.288392131004909,-7.226546465665944,-9.691223358389887
2000-01-07,-8.868905199,-7.686207412,-8.816407669,-7.864384864031108,-6.250819096050372,-7.973909958,-8.032966021856609,-9.068136752,-8.429143168457507,-8.429143168457507,-8.333644986,-7.6289449,-9.538391255,-6.844750149751376,-7.370717508791289,-8.187946572358193,-9.16608484066557
2000-01-10,-8.772662525,-7.671670293,-8.294953252,-7.866510956079119,-5.82930417593982,-7.962000885,-8.180759753888003,-9.045663547,-7.830683663128795,-7.830683663128795,-7.669762774,-7.4596789,-9.466716765,-7.780975798118199,-7.353035747324619,-7.453313353720683,-9.880839313240642
2000-01-11,-9.496622375,-7.813646138,-7.870220516,-7.868641430874925,-7.745205966859159,-8.054587789,-8.865838610937734,-9.124757612,-8.278075345175742,-8.278075345175742,-7.988199351,-8.1247035,-9.635075566,-7.510315017930111,-7.3908482999778835,-8.267953567489133,-8.764922624660553
2000-01-12,-9.198353876,-7.795382885,-7.769943629,-7.870777498483452,-8.994872970752043,-7.946015166,-8.780783877034565,-9.141561697,-8.406929756290037,-8.406929756290037,-8.168645693,-7.8447439,-9.615900599,-9.046693459332555,-7.3952606723546594,-7.4529040084239,-9.221379746055163
2000-01-13,-9.274090537,-7.802922045,-7.445045672,-7.872920389295899,-8.734784474745648,-7.982114062,-6.273968344405287,-9.135082916,-8.12189792020014,-8.12189792020014,-7.808721697,-7.7263179,-9.643927479,-7.679496087561655,-7.398416328306906,-7.612315229354074,-10.86926928076571
2000-01-14,-8.736595486,-7.701639724,-7.183331405,-7.875061569225989,-8.280644304652366,-8.083443722,-8.480302243843152,-9.047966932,-7.82351447628839,-7.82351447628839,-7.71816743,-7.4301594,-9.620305851,-7.817119353160587,-7.387659001756293,-7.352694850256244,-9.462937250252576
2000-01-18,-8.213507901,-7.60574075,-6.982690966,-7.877209134304861,-8.056272976821719,-7.53318273,-8.123229010286513,-8.968802754,-7.470912250435842,-7.470912250435842,-7.533971575,-7.1815844,-9.601946436,-6.942419856785185,-7.388675160209673,-7.339101992177129,-9.353407731222052
2000-01-19,-7.913142596,-7.526964043,-6.812993344,-7.879364495038127,-7.90180279186666,-8.887923608,-7.470985866978654,-8.899031764,-7.133373957883239,-7.133373957883239,-7.273905693,-6.9633788,-9.561450892,-8.548984425484926,-7.368762254813415,-7.350433430876734,-10.262257234276955
2000-01-20,-7.892396605,-7.490756351,-6.677750908,-7.881520690132908,-7.82404329465231,-8.408405375,-7.9280863515268925,-8.860577256,-7.039587919396099,-7.039587919396099,-7.117890068,-6.8455649,-9.569981682,-7.481211409462952,-7.360914382855362,-7.433799814239498,-10.338090620273606
2000-01-21,-7.471512792,-7.390550156,-6.570252092,-7.883681908354215,-7.708282451775049,-7.909429636,-7.755721772763439,-8.770451716,-6.790561095747566,-6.790561095747566,-7.018477237,-6.6441358,-9.533375237,-8.219425649619232,-7.362964587053749,-7.327672861391799,-7.977679542372906
2000-01-24,-7.491745455,-7.396618017,-6.816913944,-7.885851759658227,-6.479654517714217,-7.474498952,-7.739615871895897,-8.807041923,-6.98847522178851,-6.98847522178851,-7.109112064,-6.6087181,-9.511147103,-7.1649979407071225,-7.388188231825726,-7.485088105510159,-13.559452192953602
2000-01-25,-7.133522334,-7.303658574,-6.685493018,-7.888022141452846,-6.273305738965391,-7.455753234,-7.506428734046906,-8.725115873,-6.600750349286765,-6.600750349286765,-6.798511679,-6.4233025,-9.345174095,-6.875605584428603,-7.386979409803426,-7.334994570980344,-7.335153019612309
