dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.924893213,-4.513013196,-4.81778635,-5.411718979464769,-3.570364499698832,-5.718496043243186,-5.738065904937307,-5.505508061690282,-6.214871448152992,-6.36996183,-5.873436334,-5.1825817,-6.255297418,-4.694846796833231,-4.762380130785743,-4.741242613101991,-7.246688364129237
2000-01-04,-5.624142158,-5.152291809,-5.486501711,-5.415784246493961,-6.007388864919255,-6.861276108788845,-5.2955738397580685,-5.627907979881552,-6.255969713634125,-6.839951361,-5.938807654,-5.4651027,-6.749319356,-4.420678352045023,-4.815356510134669,-5.213312020337783,-6.697875587516151
2000-01-05,-6.224245327,-5.791915139,-6.155925494,-5.419863378272831,-7.887480463437321,-7.737867139009353,-7.309410876384613,-5.799474521053507,-6.618805895679458,-7.224833137,-6.281787197,-5.6792242,-7.113109876,-4.680983283825457,-4.864753051017102,-5.311581941922367,-5.1064223027696976
2000-01-06,-6.287535655,-5.871561387,-6.233152345,-5.423951789723996,-8.795017153402,-7.200657782465085,-6.765837478579918,-5.447506568541206,-6.687794374367154,-7.108014531,-6.291772132,-5.5783345,-6.948085091,-5.014451699853429,-4.873203087224138,-4.869538608744068,-6.867539902344082
2000-01-07,-6.113231145,-5.70880024,-6.066663337,-5.341656161591789,-6.8191155445263,-8.236491778995576,-7.790882925461767,-6.955261413189191,-7.848868069153132,-7.654772982,-7.441469664,-5.9719968,-7.546457129,-4.640998256010909,-4.882532195290544,-5.463702009340756,-7.473286475499162
2000-01-10,-5.945133721,-5.551708085,-5.905616589,-5.345317076256998,-6.884517679590324,-8.955865165092755,-7.182452113885029,-13.717173439056277,-7.985845163110626,-7.86077165,-7.492619622,-6.0516656,-7.694039435,-5.941838199363292,-4.894202226380985,-5.284992570019281,-5.903867556473871
2000-01-11,-5.78304304,-5.400106875,-5.749851678,-5.3479194499579705,-5.874197894978562,-3.808062531281264,-6.384256979256976,-10.90477756713322,-7.269221552503797,-7.455910863,-6.918544105,-5.8717846,-7.376929967,-5.451966075469038,-4.890443592999147,-4.832763309267006,-5.866271696220279
2000-01-12,-5.990528632,-5.571036199,-5.921511615,-5.351596880457721,-5.429593336577295,-6.985562995145771,-5.985655712553994,-8.682919132699922,-7.006905170209199,-7.486333475,-6.589626417,-5.8430422,-7.323219744,-4.969077989113199,-4.893814472137355,-4.986201901552195,-6.636070018869009
2000-01-13,-5.826813748,-5.418758337,-5.765224597,-5.3552807947705166,-6.131697363555849,-6.633290726769703,-6.373093675415626,-7.615619275973202,-7.381496593549714,-7.476709344,-6.877254492,-5.7985786,-7.241901071,-6.107367274437511,-4.897344249938604,-4.979569586290559,-6.843436331988934
2000-01-14,-5.668964108,-5.271820221,-5.614079107,-5.358981285934809,-4.021552663472078,-5.931660819635058,-5.641120036025087,-8.014347315140641,-6.922079846329131,-7.152178908,-6.495618805,-5.6351305,-6.972455096,-4.603397892831741,-4.891671668364146,-4.850171346211482,-4.9292599227543965
2000-01-18,-5.836599812,-5.426823521,-5.769030482,-5.362692057998046,-5.397478173516823,-6.171194075602417,-5.7817998843402485,-6.856879574852746,-6.676834782754932,-7.187125181,-6.189162679,-5.6095641,-6.933794093,-5.234265129615597,-4.907527101296965,-4.973404203305464,-6.289131796179945
2000-01-19,-5.86596064,-5.47031286,-5.808702491,-5.366409286275868,-6.197853502435816,-5.503011046246969,-5.584156051081993,-8.270354769636542,-6.570100416055333,-7.039496756,-6.04682994,-5.5020332,-6.756269865,-5.587991901672423,-4.921509917164155,-4.903319939874697,-6.898361004562903
2000-01-20,-6.287709686,-5.85849607,-6.210847318,-5.370140392791549,-7.727283968098854,-6.2648860551246335,-5.533073934229971,-7.362942930088654,-6.668061930465734,-7.264927995,-6.11134401,-5.5999477,-6.936889133,-5.511160142907941,-4.96125204083654,-5.194235573359788,-10.833042978157696
