dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.265304352,-3.803966896,-4.607497659,-4.285868529496396,-3.729703952505045,-3.512589940466074,-3.969895393178097,-4.03799905137639,-4.03799905137639,-5.020726963,-3.949459042,-3.7710905,-4.421321945,-4.239827002148775,-4.0452387771568015,-3.9700955298385994,-4.630678138691351
2000-01-04,-4.108518211,-3.657424469,-4.478946253,-4.28732514641459,-3.903126774552724,-4.072497806808195,-3.4421128608711413,-4.12826883028561,-4.12826883028561,-4.91184063,-3.90612985,-3.7491225,-4.399461067,-4.218179415770951,-4.054812128333925,-4.020737325142284,-5.577319262876448
2000-01-05,-6.134391276,-5.524383564,-5.294213538,-4.28878859791661,-3.686856285846182,-3.449964051628239,-3.4689426987879304,-4.772516049998148,-4.772516049998148,-5.396929058,-4.762101453,-4.566735,-5.426998471,-4.429778044947747,-4.1004554825194885,-4.530378376470191,-4.842160089775143
2000-01-06,-5.07520426,-4.525465566,-5.062018339,-4.072565851912403,-4.061618617979216,-3.614484921372148,-3.572215160848033,-4.644290537443579,-4.644290537443579,-5.178183054,-4.540371104,-4.2131694,-5.135229532,-4.4638717367164125,-4.099288223388981,-4.048031347050393,-4.650590293362564
2000-01-07,-4.707098124,-4.232979451,-4.907382297,-3.9908690897218015,-4.3393159328631725,-3.4383026780266617,-3.2415316558488647,-4.966750332344297,-4.966750332344297,-5.433201676,-4.881573296,-4.4898857,-5.35081506,-3.8525358535321312,-4.058498932520298,-4.360713895465285,-5.141702044757404
2000-01-10,-5.036313186,-4.584347125,-4.856690552,-4.026158760447071,-3.100388133690698,-3.29717670545253,-3.5440692159360334,-5.256362241375535,-5.256362241375535,-5.949905062,-5.544695418,-5.0510748,-6.044520929,-5.019244104942092,-4.083168795041472,-4.679276450652772,-4.448969036852644
2000-01-11,-5.281735582,-4.613004121,-4.986967299,-3.910759292154414,-3.515818636819717,-3.2547168393997423,-3.316775666664745,-4.981799410257075,-4.981799410257075,-6.001942561,-5.071594503,-4.8925684,-5.998879499,-4.094813264260195,-4.062140387172522,-4.272432237443828,-4.414463134783633
2000-01-12,-4.561869602,-3.989726002,-4.782132127,-3.912254369582237,-3.4362998596964207,-3.342278305506392,-3.711162907982652,-4.382748687760296,-4.382748687760296,-5.485497351,-4.405293367,-4.353789,-5.469365808,-4.305673441236856,-4.062096548876868,-4.016392269604529,-4.667563480081749
2000-01-13,-4.234125996,-3.707328379,-4.617350755,-3.913757361988195,-3.230972434496826,-3.3641521675726387,-3.299002450027422,-4.07504599319179,-4.07504599319179,-5.220111421,-4.023069853,-4.0572195,-4.58221126,-3.364075835879915,-4.063381918611089,-4.035131629256637,-4.042603784487603
2000-01-14,-4.036971334,-3.551942841,-4.450619091,-3.9152688361780954,-3.704419274006873,-3.484654465864032,-3.450167426636436,-3.724734383234388,-3.724734383234388,-4.821304555,-3.791511139,-3.7934658,-4.278594374,-4.349613027519673,-4.065582589572574,-4.000294861584526,-6.103427187729356
2000-01-18,-3.953954118,-3.488666034,-4.302169786,-3.916788693787976,-3.733822726520073,-3.502283274817434,-3.57019348731767,-3.5280055364147747,-3.5280055364147747,-4.480903849,-3.695472199,-3.6360982,-4.147164948,-4.056146124532289,-4.066164415839806,-4.003255637465666,-6.755094419695602
2000-01-19,-4.821148409,-4.292231445,-4.565172486,-3.918317628034636,-3.714708986900228,-3.5083637876966205,-3.4887592918962262,-4.04069572851084,-4.04069572851084,-4.887999786,-4.218279167,-4.0270638,-4.8383723,-3.4170791744101794,-4.08508305794583,-4.270414804743142,-5.723173186055724
2000-01-20,-4.315513553,-3.822401536,-4.404038138,-3.919856137914666,-3.8397856363649416,-3.506577744677028,-3.582064392799771,-3.812665301557996,-3.812665301557996,-4.605769125,-3.942808436,-3.7254302,-4.431865448,-3.872552338522389,-4.066397135411992,-4.00720850245193,-5.330541051817919
2000-01-21,-4.072893801,-3.601228194,-4.260870728,-3.811567760899469,-3.8184752157774713,-3.5635350334673435,-3.730144414074192,-3.5957950044771403,-3.5957950044771403,-4.349741129,-3.756696635,-3.6208908,-4.235223018,-4.351622771758084,-4.066338628967195,-4.007206923142644,-5.355714099244471
2000-01-24,-4.57802259,-4.082526855,-4.421334607,-3.811903760368709,-3.9967956145977728,-3.484602472344293,-3.640093094393237,-3.948802107637541,-3.948802107637541,-4.655872915,-4.101007904,-3.9823933,-4.697392659,-4.07493783790801,-4.052314055955634,-4.1676873007456425,-6.582552839367179
2000-01-25,-10.88793883,-9.934448491,-8.119022424,-4.076284953904636,-4.135961919179776,-2.9182884922840864,-3.624906553973279,-6.007189322112206,-6.007189322112206,-6.104938411,-7.214505724,-7.0947835,-8.404176333,-3.569193345114572,-4.214918620224704,-5.763973829447261,-4.371158019119157
2000-01-26,-8.418659628,-7.606608341,-7.667954004,-4.077090832341721,-3.986511488190489,-3.60300577937906,-3.711167156266874,-5.162788287644887,-5.162788287644887,-5.985018052,-5.816421975,-5.6729819,-6.540055544,-3.684770458087117,-4.2170603038863455,-4.224499110616891,-4.228230936668951
