dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-5.112935629,-4.735786507,-4.878284926,-7.246667545280442,-5.28737774839063,,-4.270444975514288,-5.095652635,-5.038890838076002,-5.038890838076002,-5.029812993,-4.5143548,-5.387191588,-6.020641741078003,-5.778546907525469,-5.526256458222316,-6.317225713295144
2000-01-04,-5.258506548,-4.866999435,-4.995210303,-7.252676623456992,-4.446529250774876,,-5.376678454709071,-5.26826663,-5.053243494184515,-5.053243494184515,-5.003441804,-4.548651,-5.390837157,-4.986639975941319,-5.7904698120173945,-5.595635198220107,-7.36192773528912
2000-01-05,-6.228899196,-5.812658268,-5.887657437,-7.258702477155032,-8.9541081396627,,-4.95580347957785,-6.064610875,-5.473862229261518,-5.473862229261518,-5.544361003,-5.1884952,-5.994825578,-6.9272476010999,-5.822730730687123,-5.936368374522237,-8.572931709083198
2000-01-06,-5.912024656,-5.495187762,-5.600557163,-7.264502985233983,-5.012274800955069,,-4.916174726141488,-5.750434714,-5.667105372450123,-5.667105372450123,-5.678356143,-5.0519658,-5.892696656,-5.948338553889438,-5.808572429811417,-5.6040968910197,-6.845346984274021
2000-01-07,-5.835239145,-5.44125706,-5.536251536,-7.257628032771263,-4.689726985629267,,-5.444835022598347,-5.708186603,-6.091845523121517,-6.091845523121517,-6.11073505,-5.3896204,-6.233565548,-6.526081392103908,-5.779091511932019,-5.884903553061168,-6.833721965154517
2000-01-10,-6.254875854,-5.914043617,-5.939106348,-7.263645306685939,-5.271506542347824,,-6.804447398564676,-6.049411217,-7.264472703089018,-7.264472703089018,-7.840490348,-6.9233559,-7.746442985,-8.369241224503014,-5.798792785659005,-6.71815570617942,-7.153695207444973
2000-01-11,-5.89930637,-5.525875624,-5.599191954,-7.266685554130736,-4.076565000364259,,-6.202568549155568,-5.646377111,-6.540786295542971,-6.540786295542971,-7.092851568,-6.4167042,-7.360350084,-6.813640661495137,-5.796786661745363,-5.573938046269008,-7.435660251584706
2000-01-12,-5.776465806,-5.394276626,-5.482845019,-7.273169163678477,-5.207628181064106,,-5.959069263132694,-5.605246946,-6.291194136828545,-6.291194136828545,-6.717103835,-5.7378502,-7.080795438,-6.8860217610335015,-5.779701704940889,-5.609711386677255,-7.529360568325794
2000-01-13,-5.698666295,-5.315488412,-5.400327223,-7.278415919803222,-4.26494966943624,,-8.31679679645319,-5.54783649,-6.716380787839342,-6.716380787839342,-7.046089226,-6.1114223,-7.198048513,-6.387856810851177,-5.786815233816416,-5.874059852916165,-6.953638848464274
2000-01-14,-5.901360186,-5.556861346,-5.599340645,-7.28585867637283,-6.193984873591489,,-7.177200255843268,-5.739326871,-7.44447113861649,-7.44447113861649,-7.859217244,-6.8401174,-7.913605656,-6.089749641749508,-5.817033601284099,-6.356233919419164,-7.674345152515695
2000-01-18,-5.552173208,-5.197021493,-5.285515954,-7.290158164737906,-3.9868558346332215,,-6.480164026250946,-5.328313335,-6.690300836839264,-6.690300836839264,-7.152262582,-6.2759264,-7.509143757,-5.921502757172173,-5.810105278237714,-5.603882697730584,-7.454384012103588
2000-01-19,-5.507563825,-5.13573367,-5.232222483,-7.297869945402176,-5.133810854290714,,-6.236370254596376,-5.354164481,-6.430209966891319,-6.430209966891319,-6.78618842,-5.9576783,-7.23569479,-7.466684498249364,-5.7947014230134535,-5.647608686179306,-7.096408188247886
2000-01-20,-5.251342156,-4.883898665,-5.005390912,-7.29999159265799,-4.33348610015664,,-6.014170414170148,-5.104440439,-6.332833573526754,-6.332833573526754,-6.628157949,-5.625493,-6.959920818,-6.78529027310038,-5.789521474177466,-5.650341583141218,-7.067548114197063
2000-01-21,-5.37687339,-4.961483397,-5.075725395,-7.307561341693787,-5.597842091727128,,-5.897151796539762,-5.249277314,-6.1241220257067965,-6.1241220257067965,-6.300145603,-5.4582844,-6.791633517,-5.775850309959147,-5.802841652828628,-5.676980131781598,-6.0725114675113305
2000-01-24,-6.282118713,-5.847554123,-5.913917691,-7.243255863948821,-5.833405871041256,,-6.380213252181147,-6.022453953,-6.403637385819432,-6.403637385819432,-6.553005397,-5.8231125,-7.136836459,-6.993987345585828,-5.8423748608249175,-5.9994209530764655,-7.578356112871225
2000-01-25,-6.277343154,-5.872415135,-5.942176519,-7.160428922179638,-6.964331491447225,,-6.323121789022,-6.133923428,-6.3978738403259054,-6.3978738403259054,-6.446455266,-5.6260252,-6.967363584,-5.538812340400231,-5.858643045420666,-5.72744171393227,-6.059746191048792
2000-01-26,-5.931334957,-5.533565721,-5.637359271,-7.164614960179506,-6.057909786481906,,-6.111790568238218,-5.790361207,-6.366957573338082,-6.366957573338082,-6.368663077,-5.3786344,-6.727539637,-5.661377642713483,-5.835849299366952,-5.641527217256457,-7.339938902474497
