dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH-st,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-01-18,-6.587507894,-6.05511115,-6.15408319,-5.856079265786311,-5.460039895788121,-6.367284141753048,-6.493778926800202,-6.587141811022527,-6.193197368,-6.587141811022527,-6.160776485,-0.063721127,-7.572771614,-6.58066741992329,-5.798952695780629,-5.941726607658114,-6.456830930705088
2000-01-19,-6.175944019,-5.665879552,-5.781342838,-5.854891753535093,-4.945174180054278,-7.479352157193194,-8.12260524937945,-7.070923441409223,-5.789708753,-7.070923441409223,-6.494700402,-0.066782775,-7.862734498,-6.011451073266336,-5.745674220456172,-6.313620663931977,-7.399027755262973
2000-01-20,-5.837628302,-5.345730084,-5.469348404,-5.853706124948661,-4.286990718461782,-7.070704186381437,-6.028179833591677,-6.254089456021494,-5.483959073,-6.254089456021494,-6.062390803,-0.062655662,-7.478461973,-5.509571411436948,-5.748060091813725,-5.878182491587261,-5.777501381532303
2000-01-21,-5.573017992,-5.094801587,-5.221503062,-5.852519918198917,-5.004369662288938,-6.027770847394384,-4.86233087620958,-5.697486660325741,-5.267809883,-5.697486660325741,-5.688847446,-0.059663326,-7.145360064,-6.291942506728196,-5.7502237904541085,-5.876086476451889,-7.626306146878104
2000-01-24,-5.34482354,-4.878707065,-5.002987842,-5.851325037991462,-4.6719515210174265,-6.075378273336177,-6.196048486582834,-5.895461072153376,-5.003449735,-5.895461072153376,-5.662150246,-0.059504045,-7.090075618,-5.501680200447945,-5.744682928084779,-6.040867335913703,-5.021783740868727
2000-01-25,-8.162037988,-7.538893437,-7.501030641,-5.850136232088483,-14.399838612928512,-8.47569622919128,-9.113243715283328,-7.41465864709071,-7.07655727,-7.41465864709071,-7.21472574,-0.07103974,-8.300832181,-6.559256647585667,-5.787346692895047,-6.685993024999027,-6.480853153560833
2000-01-26,-7.481020923,-6.896555447,-6.916382397,-5.848934752609469,-7.69520335265495,-7.915657624276572,-7.888589232812013,-7.165834466336055,-6.562023079,-7.165834466336055,-6.826412898,-0.068656436,-8.113598061,-7.036340200670288,-5.766101516036507,-6.079058395687938,-5.414439768289148
2000-01-27,-8.956170927,-8.284746698,-8.253805558,-5.847731428375074,-12.36779760463865,-8.61405314775707,-9.345203331897538,-7.913982705990278,-7.85511903,-7.913982705990278,-7.471371497,-0.07372125,-8.655921921,-6.141585700843461,-5.826235835155263,-6.435814118488821,-7.653954199712114
2000-01-28,-8.253455101,-7.629940005,-7.664324994,-5.846526498581876,-9.21279956355104,-7.7782654832288225,-6.8121100743305005,-7.078428483531486,-7.486587803,-7.078428483531486,-6.845944369,-0.069248842,-8.222616447,-6.231691714011686,-5.82780160968173,-5.897378142782202,-5.544438937425963
2000-01-31,-8.480785945,-7.847081641,-7.892960722,-5.845317368229739,-9.700334262243866,-7.254293778721537,-7.186886341082543,-7.15716295803485,-7.891846697,-7.15716295803485,-6.796593031,-0.069089681,-8.164636025,-6.596585409159717,-5.832130443223537,-6.077921431812166,-7.153171411139524
2000-02-01,-7.746852649,-7.153769266,-7.248425893,-5.844112011292894,-6.56035061451566,-8.725487830429742,-9.396297614655492,-7.832137465560945,-7.226214294,-7.832137465560945,-7.348563576,-0.074806918,-8.7402765,-5.842790307073931,-5.847710564079154,-6.650352141151436,-5.94005042120975
2000-02-02,-7.135490519,-6.575813665,-6.702750841,-5.8438188943393365,-5.954297756441136,-8.211548430472597,-12.016023114722774,-9.17876332479246,-6.638313507,-9.17876332479246,-9.051259527,-0.093258346,-10.14876043,-5.132001530016938,-5.8257716962570445,-7.274349709683615,-6.839904810332985
2000-02-03,-8.071627605,-7.42857742,-7.50717997,-5.842602328912013,-8.831079014780617,-7.751126168610227,-10.2491309126708,-8.96125460656179,-7.481292132,-8.96125460656179,-8.816494623,-0.089650333,-10.00471956,-6.340980705338721,-5.817239774119611,-6.261558480354726,-5.959006018960604
2000-02-04,-7.405705546,-6.804600474,-6.921586787,-5.841384974188161,-6.495930090835808,-10.345502703762604,-9.417255085763536,-8.492162600987989,-6.899381324,-8.492162600987989,-8.312271993,-0.082533893,-9.74198184,-6.786607598270588,-5.822721458495684,-6.27665502783182,-4.961675306569575
2000-02-07,-6.852262406,-6.285746583,-6.42682045,-5.840159182004616,-5.280203827765365,-6.485540461233221,-8.544324944761609,-8.0346640001227,-6.410673015,-8.0346640001227,-7.84897999,-0.078693778,-9.407059447,-6.536372634241984,-5.724915399853908,-6.117320502440013,-7.527021333340416
2000-02-08,-6.394285163,-5.856185245,-6.010281502,-5.8389347818871205,-4.8127652164091295,-8.933682118001188,-8.50447007982498,-7.848889989510461,-5.985578281,-7.848889989510461,-7.574433044,-0.076514672,-9.228658627,-6.530610515463083,-5.728109279272469,-6.206686184352607,-7.034122345468331
2000-02-09,-6.016934765,-5.502091146,-5.660849002,-5.837705278029601,-4.85775105887555,-8.378467407937189,-7.700718141295744,-6.916199336836423,-5.651051289,-6.916199336836423,-6.987485176,-0.071391632,-8.714965642,-5.638614940230236,-5.6900394954565865,-5.862973742715791,-5.291114518241039
