dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.678699367,-4.389396717,-4.714331849,-4.236366361352567,-3.46240450383604,-3.285965434,-3.460488277341353,-7.230321914,-4.9458247181215045,-4.9458247181215045,-4.754867583,-3.9385383,-4.998005648,-5.0765047656888855,-4.49810699931242,-4.438163824640056,-7.550122566450089
2000-01-04,-4.71940489,-4.421813149,-4.707777597,-4.23721969606029,-3.70460003835396,-3.629653179,-3.652438027855193,-11.51577048,-4.793174717306671,-4.793174717306671,-4.507799675,-3.947613,-5.131295299,-5.535074977392147,-4.512777209529817,-4.490679820829975,-4.572067316051559
2000-01-05,-4.800094698,-4.497270964,-4.721440153,-4.238075763145347,-3.8619165517728575,-3.627197077,-3.897723726616998,-14.87046265,-4.876039905205237,-4.876039905205237,-4.519070288,-4.000449,-5.144066541,-4.002251850120209,-4.531667797111624,-4.54825960521815,-5.706190714210758
2000-01-06,-4.743993196,-4.444904029,-4.700083582,-4.238984186880799,-3.919945912745313,-3.636369839,-3.911095868343325,-11.85683289,-4.901573924626937,-4.901573924626937,-4.506654977,-3.9844566,-5.121586219,-5.278752130654264,-4.518293279452977,-4.466485958160058,-5.11144286183206
2000-01-07,-4.747027467,-4.443306188,-4.680796872,-4.2398911528718966,-3.753056474950907,-3.602685561,-3.851816463704775,-12.34524851,-4.9064842175363,-4.9064842175363,-4.480785828,-4.005893,-5.089680987,-5.228138942166077,-4.489343863008319,-4.428279787333586,-7.003066891911237
2000-01-10,-4.748195564,-4.441150045,-4.706477367,-4.240796073296417,-4.428295937129356,-3.691227181,-4.220296874456347,-11.43484847,-5.066914285781093,-5.066914285781093,-4.542864858,-4.1226462,-5.127242179,-4.613412395846755,-4.4540296727980255,-4.575472833214359,-6.058406572996868
2000-01-11,-4.654825199,-4.357639721,-4.661314042,-4.241708651175984,-3.7614438804613513,-3.671690156,-3.819310687036305,-8.294012152,-4.903175643347993,-4.903175643347993,-4.478510744,-3.9935345,-5.055266231,-4.762310878548973,-4.449827269910178,-4.337940301417467,-4.52610845768108
2000-01-12,-4.644560252,-4.345790052,-4.674187767,-4.242621186746128,-3.833851897520793,-3.918502438,-4.089184648080755,-8.633673861,-5.01745130960386,-5.01745130960386,-4.515839711,-4.060875,-5.107097546,-4.631902736057591,-4.444602770273767,-4.534170853155691,-6.299916832953884
2000-01-13,-4.779799285,-4.471780039,-4.841230443,-4.243231561225888,-4.133005790739472,-3.801578813,-4.855198823117377,-12.20559615,-5.438088969958455,-5.438088969958455,-4.808510541,-4.5560528,-5.326671855,-5.651520154739002,-4.46864128082618,-4.977444219465377,-4.427582237125474
2000-01-14,-4.739662548,-4.431690162,-4.805294113,-4.244149998357529,-4.096794822272634,-4.446420327,-4.400581669154486,-11.10296905,-5.34329303246272,-5.34329303246272,-4.763795657,-4.4425185,-5.27184095,-4.217812816056352,-4.47326809215589,-4.4019518162652975,-6.092114803195784
2000-01-18,-4.653051673,-4.352718832,-4.760996741,-4.245068951604078,-3.7198135583522345,-4.116375264,-4.046832912903066,-8.325733058,-5.176591447254904,-5.176591447254904,-4.701002669,-4.3351126,-5.201383734,-5.138988288125666,-4.455855372702252,-4.3738671576376245,-5.433712592295147
2000-01-19,-4.837577684,-4.516967698,-4.814025169,-4.245989925924231,-4.373801958893556,-4.304914537,-4.3540173431010185,-17.74533108,-5.32557330537591,-5.32557330537591,-4.792212407,-4.44355,-5.252813965,-5.60183737331651,-4.473300286992347,-4.619163374505786,-4.742671942380003
2000-01-20,-4.807515856,-4.486582482,-4.810908649,-4.2469088292489445,-4.297348219209338,-4.270954394,-4.117683088860111,-14.3260006,-5.334741284487823,-5.334741284487823,-4.800978342,-4.4522686,-5.252950285,-4.829222623968748,-4.469316678854601,-4.534092216770899,-7.497356899789582
2000-01-21,-4.711880455,-4.401350832,-4.763953143,-4.247836143988982,-3.6581913264456234,-3.954305732,-3.937605208450672,-10.19471427,-5.129991023851712,-5.129991023851712,-4.729808706,-4.3375343,-5.173698228,-5.469368410955624,-4.467164491227432,-4.382914862150417,-5.612015609254438
2000-01-24,-5.067490734,-4.733777455,-4.91098921,-4.248759755567367,-4.68209494663388,-4.578041487,-4.6028888387461055,-24.74414512,-5.473080055222126,-5.473080055222126,-4.963974034,-4.617162,-5.36028646,-5.246128837594472,-4.491780778892132,-4.82486899335989,-5.624938406447908
2000-01-25,-5.448885826,-5.092447966,-5.083407902,-4.24968836969177,-4.832794484639017,-5.118138186,-5.107792253973508,-29.33738807,-5.825846970940603,-5.825846970940603,-5.172455105,-4.9230353,-5.574895268,-5.241263043403936,-4.540480361314099,-4.92825570381952,-5.150727159729885
2000-01-26,-5.342912913,-4.996109208,-5.035953134,-4.250615825193084,-3.93787943778928,-4.671942847,-4.474822940977877,-20.53936109,-5.617452164957936,-5.617452164957936,-5.095219005,-4.8002701,-5.507553141,-5.533315107299392,-4.536315329862071,-4.428322531280952,-5.732743516741161
2000-01-27,-7.699358031,-7.234600623,-6.700104638,-4.340354893486204,-8.269089303234926,-9.477664338,-7.260885332231803,-93.73621694,-7.672487960191417,-7.672487960191417,-7.879406685,-7.0958911,-7.342030109,-4.460434355917721,-4.848362381304547,-7.704454766233551,-7.628965360179556
2000-01-28,-7.76011734,-7.277613918,-6.843818015,-4.340624749612948,-7.713428790009352,-9.189108917,-7.515143024180739,-67.46163556,-8.16937874430018,-8.16937874430018,-8.084986642,-7.3353253,-7.667132015,-5.968944323961051,-4.888678716658057,-5.545677925550366,-5.585929222341255
2000-01-31,-7.750897918,-7.252927389,-6.818537279,-4.341871642992624,-7.459444317905466,-9.167105229,-7.036591428506851,-50.8585026,-8.031971186354491,-8.031971186354491,-7.898983661,-7.1927591,-7.564157055,-4.696183338937232,-4.908245370543437,-4.916791511130268,-9.36730774802596
2000-02-01,-7.605486474,-7.117975597,-6.761007994,-4.343126685122511,-6.632018594339267,-7.433509784,-6.197421454375493,-35.69890381,-7.658147831432685,-7.658147831432685,-7.236421708,-6.9988854,-7.229698848,-5.534114831146375,-4.900719324359773,-4.815350762638452,-6.116190350214925
2000-02-02,-7.559392686,-7.067513661,-6.723171137,-4.349538632948364,-3.730546208480403,-6.618594407,-5.795975271920451,-29.28893294,-7.592923949821056,-7.592923949821056,-7.251712834,-6.8553011,-7.231130418,-6.117224634684114,-4.9133505875891,-4.864986926736212,-6.418404616838475
2000-02-03,-7.633664593,-7.141553192,-6.744853086,-4.350823849369839,-4.100808006810448,-6.356251345,-5.815690482325751,-28.86285947,-7.717649073592996,-7.717649073592996,-7.327460049,-6.8478973,-7.317329696,-4.891195043618075,-4.944067136166328,-5.067721396808596,-6.86048953186996
2000-02-04,-7.522663211,-7.039999474,-6.686973318,-4.352115328522832,-7.624881400988832,-5.736759595,-5.322564936103555,-23.05277715,-7.481921457305042,-7.481921457305042,-7.189387923,-6.6807625,-7.266978818,-5.101021400945112,-4.955402912155418,-4.816740927487403,-6.110673176569406
2000-02-07,-7.349414321,-6.884287773,-6.613055869,-4.353413228517927,-4.694600208581837,-5.132695176,-4.634104781359162,-15.91894927,-7.060771065693288,-7.060771065693288,-6.710139772,-6.4695755,-6.993421995,-5.719034709317557,-4.950102154392202,-4.7520336096188025,-5.8740274513336574
2000-02-08,-7.193082779,-6.742484138,-6.541735195,-4.354412101173765,-4.28111320442131,-4.658764145,-4.144237717444574,-12.03227856,-6.770163179250904,-6.770163179250904,-6.574877625,-6.2707813,-6.859055518,-5.306249789985956,-4.950502094559012,-4.757604141299961,-6.669172635040795
2000-02-09,-7.176064216,-6.724304032,-6.591089192,-4.355707900599257,-4.685347651334457,-5.201251056,-4.823255644244836,-13.24173465,-6.990685872453326,-6.990685872453326,-6.638627686,-6.4019755,-7.008372858,-5.685719830547188,-4.963506734274198,-5.248398591449139,-6.06205660585203
2000-02-10,-7.068346866,-6.621874864,-6.530593428,-4.357007853501574,-4.3855938723062255,-4.795263423,-4.5182879709319135,-12.37220932,-6.87279724210135,-6.87279724210135,-6.665924377,-6.2270506,-6.872653234,-5.31960963918429,-4.966581393281608,-4.816542930140252,-7.865447825442958
