dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-5.16696249,-4.622220434,-5.037678233,-4.83988119253508,-5.106115884080628,-5.032036853836245,-5.152603609375801,-5.288533512963424,-5.288533512963424,-5.013837872,-5.647356288,-4.6538071,-5.302469098,-6.920660213827464,-6.090819693465876,-5.9730903915881415,-7.088236654185491
2000-01-04,-5.326737273,-4.754321429,-5.412040247,-4.839865444873091,-4.346513309735995,-4.55108416043296,-5.495964972547575,-6.647334784172808,-6.647334784172808,-6.705588434,-7.457034714,-6.0917808,-7.260009898,-7.272664404658752,-6.1499809568815,-7.323687833170727,-8.55486893297212
2000-01-05,-6.170437388,-5.557771698,-6.546832618,-4.839767465029842,-5.990886082445125,-4.558903230415707,-5.915147257901355,-6.903552202027032,-6.903552202027032,-7.066947528,-7.370618077,-6.1663892,-7.379433967,-4.67732354782081,-6.187589754793948,-6.374131267623409,-7.703291719313741
2000-01-06,-6.003206832,-5.395216663,-6.308718332,-4.839668154458993,-4.208232224159771,-4.123288709802543,-4.470847206096273,-7.094250230497883,-7.094250230497883,-7.319653931,-7.419388446,-6.1998533,-7.393362096,-6.473128512505605,-6.184231545736441,-6.388901243506034,-8.504711583765927
2000-01-07,-6.256875497,-5.628037136,-6.666592277,-4.839559325036007,-5.400260847082064,-4.462822056839786,-5.484449879910887,-7.063777532515807,-7.063777532515807,-7.137503347,-7.238482984,-6.0246525,-7.050820301,-6.2925680457886575,-6.199332220421532,-6.162922104597798,-6.23919664612911
2000-01-10,-6.073172339,-5.456226326,-6.346161092,-4.839442533535716,-5.420978007480512,-4.332893942768682,-5.454579365364873,-6.771407761341514,-6.771407761341514,-6.706110755,-6.938512962,-5.7845888,-6.668737172,-6.158180744214843,-6.183345569113452,-6.079351746543518,-7.050492663331194
2000-01-11,-5.941959638,-5.326731525,-6.189823521,-4.8393333500229,-4.16787245111685,-4.243345136620815,-5.504347106144548,-7.079543905327639,-7.079543905327639,-7.141033071,-7.142088043,-5.9731483,-6.953279832,-5.403652549512432,-6.1935870354979,-6.488300648690344,-7.247554334889551
2000-01-12,-5.643851234,-5.058819246,-5.700952888,-4.839214780740894,-4.967484865597093,-5.62686030871667,-5.270148707728207,-6.813274359483206,-6.813274359483206,-6.746471613,-6.891153437,-5.7385198,-6.606925467,-6.369572856753528,-6.16732019417816,-6.105383561199218,-10.593649032490934
2000-01-13,-5.351695566,-4.799261052,-5.235763383,-4.839105317299412,-5.25955036367372,-3.537452058816441e+27,-4.920727852277009,-6.494772191378733,-6.494772191378733,-6.326248401,-6.658173142,-5.5266188,-6.305833652,-6.585864681947336,-6.16649169303692,-6.082783002998489,-8.056118715124876
2000-01-14,-5.462304284,-4.897605096,-5.476659986,-4.838987180584885,-4.9291393146026055,-4.502173850082283,-5.200204092963158,-6.392774842307643,-6.392774842307643,-6.181042083,-6.502739951,-5.3853018,-6.121095199,-6.146676484911394,-6.16369273690542,-6.085828393029998,-6.069349176881225
