dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-01-18,-7.915698028,-7.765971294,-8.569016666,-7.344341594302538,-6.667010088244052,-8.456365321053884,-7.064332166203431,-8.425747087467778,-7.031886844393114,-8.978381859,-7.302985103,-0.060069586,-7.227021603,-7.522277288280874,-6.840698532956496,-6.891359305831667,-9.16312193237567
2000-01-19,-7.920666002,-7.778563099,-8.546335005,-7.355595771243039,-6.663826786686778,-5.429959103191989,-6.669534852802684,-8.156945146935861,-6.71388169615949,-8.527190732,-6.718077062,-0.054661363,-6.604390731,-8.113909135178691,-6.844978478812808,-6.777032132479016,-8.254752522367426
2000-01-20,-7.812021277,-7.666127401,-8.43363022,-7.334785927244375,-8.52598678236502,-5.500843089647762,-5.466162044813668,-8.43436735575981,-7.115579191580359,-8.920466047,-8.572234817,-0.071268172,-8.385854506,-6.936703123941375,-6.82854301102986,-7.131430500502436,-8.96975627781259
2000-01-21,-7.940985321,-7.819103627,-8.635246508,-7.184955554254088,-7.274277407299813,-5.40807397876503,-5.480755246775657,-8.461668592579342,-6.973757218688419,-8.814031116,-7.388170735,-0.059543382,-7.17750716,-7.1172607510457695,-6.85065492719906,-6.855879608110538,-9.961055867919796
2000-01-24,-8.037228985,-7.880099902,-8.688244883,-7.188450926548692,-5.4119977340008205,-7.393442890016483,-6.9416923563178665,-8.132841765994984,-6.749542218797044,-8.632766699,-6.967762436,-0.056286964,-6.767803244,-7.70950199108267,-6.859424904445613,-6.793171294262993,-11.597482219209974
2000-01-25,-8.15669956,-7.976487166,-8.797279397,-7.19195456020483,-8.584502701514806,-7.196446731606583,-5.497615714523107,-7.939256868431092,-6.612529931765513,-8.500187644,-7.080182622,-0.057295931,-6.845056418,-6.308698770697852,-6.874029144128289,-6.8243498529526585,-7.414252198218429
2000-01-26,-8.232970926,-8.024550145,-8.828744046,-7.195466481455493,-6.177127205523226,-6.759072324673672,-6.751160239622018,-7.662283286301723,-6.416395597449755,-8.328705547,-6.911904831,-0.055932098,-6.70585995,-7.676419996674573,-6.887958757386126,-6.795874551829104,-7.998066999478522
2000-01-27,-8.036857684,-7.8303197,-8.533005436,-7.1879697550923005,-8.583763931251745,-6.195482095601726,-5.567534297515298,-7.181434417888327,-6.121473804465767,-8.09373109,-6.672783982,-0.054311922,-6.589482344,-7.588771162717598,-6.847875544540077,-6.711113914859042,-8.076913729148137
2000-01-28,-8.42407622,-8.237189875,-9.137235942,-7.191286572921566,-6.608934778233586,-7.809067235191141,-5.467549734441936,-8.20324199631107,-6.80387523785231,-8.599969977,-9.138384558,-0.073518906,-8.612840225,-6.248735493618141,-6.8789901184214175,-7.171732458970877,-7.707754935857721
2000-01-31,-8.400374583,-8.151899914,-8.951682168,-7.194613038702816,-6.957395305903725,-6.969760984107625,-5.609081612565337,-7.582043399406818,-6.408111322243805,-8.287603042,-6.751857583,-0.054332149,-6.655586594,-6.718792082823112,-6.870475306231544,-6.675085632775756,-13.007292766249238
2000-02-01,-8.618713702,-8.363519215,-9.241577775,-7.197944244088402,-6.18526130723019,-5.394672568040312,-6.517372616613698,-7.856663389458898,-6.591090525670087,-8.387414773,-7.692932794,-0.062322714,-7.373687567,-6.703053543235847,-6.890585215958077,-6.866787493139536,-8.198955316025575
2000-02-02,-8.444770386,-8.192537525,-9.001772809,-7.201286689376245,-7.01345116481528,-5.31144160970336,-7.073302825134691,-7.644359400327507,-6.591150909244262,-8.411537455,-7.336063062,-0.060182126,-7.244474473,-7.262411096688746,-6.869998445612031,-6.814059705596408,-6.943784630556832
2000-02-03,-8.259479335,-8.001600521,-8.716822843,-7.204635726247711,-7.4919463654917395,-5.295936989085732,-6.83039205581893,-7.442166219839055,-6.393436306371708,-8.273531716,-6.871140183,-0.055906818,-6.794000006,-6.222554723352725,-6.86734689283526,-6.709298517221403,-8.070486640212781
2000-02-04,-8.056776782,-7.797473755,-8.403533135,-7.207993125838978,-6.433505859398277,-5.435637948167083,-6.62001273714178,-7.070363892964696,-6.052486127987654,-8.003768257,-6.612334469,-0.053755206,-6.53592451,-6.32254292867388,-6.850638819109008,-6.638063650580624,-9.493566352616824
