dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.436924462,-4.012846288,-4.113970209,-5.438260932623371,-3.0335255319778534,-3.5131367812384804,-3.0804439543876745,-3.910529108987914,-3.910529108987914,-4.61382596,-4.212146118,-4.1047564,-4.867683226,-4.439086677061217,-4.075142131790312,-4.02073056756328,-4.427267355885579
2000-01-04,-4.723533772,-4.301630495,-4.397136357,-5.441397649548976,-3.982565396364615,-3.755940993666843,-4.024089928814532,-4.1034532463356665,-4.1034532463356665,-4.757929278,-4.337248781,-4.1727184,-4.938659806,-4.81779920159987,-4.0987092376732805,-4.21951372945734,-4.806430510361773
2000-01-05,-4.952831394,-4.500613442,-4.595731071,-5.4445466956742194,-3.8817721727693337,-3.812631998724864,-3.940430779002789,-4.1915004961785325,-4.1915004961785325,-4.865415512,-4.362933657,-4.1929563,-4.978724329,-4.590751124759051,-4.099218429145623,-4.180120931198392,-4.689954065116959
2000-01-06,-5.178147243,-4.676170858,-4.772570582,-5.447699976865232,-4.206450510537366,-3.9062263379602937,-4.00848807783798,-4.281345398561344,-4.281345398561344,-4.963293657,-4.392433839,-4.2389666,-5.012597967,-3.4026141724145296,-4.099876851080141,-4.177241692074646,-6.030078121799165
2000-01-07,-5.075064125,-4.521525753,-4.615606126,-5.450861998109242,-9.264680684179703,-5.034101638565294,-5.28384808279156,-4.619669828249953,-4.619669828249953,-5.45146587,-4.751549227,-4.7415246,-5.520525742,-3.973082620096833,-4.110646009536806,-4.809457532355664,-5.863807130400727
2000-01-10,-5.101825473,-4.388628569,-4.467444059,-5.451431912567979,-13.937034150746587,-7.476301650332938,-6.660129990770573,-6.1116924574033575,-6.1116924574033575,-6.690025378,-6.507850574,-6.2128798,-7.20177174,-4.741315920050952,-4.227600180687348,-6.074469710568137,-4.5833353504872285
2000-01-11,-4.927992358,-4.295183098,-4.382780648,-5.454600930503954,-3.6357393593332823,-6.630643008832696,-5.506230832334942,-5.754555954933084,-5.754555954933084,-6.350190117,-6.299172704,-6.0192608,-6.933625721,-4.976425601638087,-4.227516758486728,-4.214689280671654,-5.008995531102345
2000-01-12,-4.786781919,-4.1557079,-4.247772914,-5.457785319121034,-4.868027676329295,-7.495724954570311,-5.290932520709861,-5.537674368417775,-5.537674368417775,-6.225962185,-6.075206523,-5.8797955,-6.763526014,-4.729719224749655,-4.185062817088768,-4.275485184620504,-6.036607672555513
2000-01-13,-4.655490604,-4.101075784,-4.199709222,-5.46097618758202,-4.350875722937214,-5.431648054754518,-4.555893209627078,-5.325383135092283,-5.325383135092283,-6.017712869,-5.901326586,-5.7115274,-6.575116761,-4.477139855392198,-4.189757964165698,-4.1945261311092565,-5.09606951393167
2000-01-14,-4.73978842,-4.266771652,-4.365165733,-5.463830696812705,-4.633624441779928,-5.735108002962976,-4.481333402183676,-5.29327091759858,-5.29327091759858,-6.006101385,-5.80758791,-5.6240564,-6.486662625,-3.930075751546032,-4.204015384447935,-4.30040784625009,-5.3408976632530365
