dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-6.978327754,-6.295708714,-6.771342922,-8.605473739852187,-6.43519069867076,,-5.827630938458611,-7.027700678,-6.0795296238821965,-6.0795296238821965,-6.134789496,-5.8291162,-6.938504974,-8.372511547547662,-6.283833078684764,-6.228304110418836,-7.601729902812097
2000-01-04,-6.951073452,-6.270653449,-6.764552298,-8.614499076226258,-7.078864195375165,,-7.212068127334312,-7.228860936,-6.285750055055429,-6.285750055055429,-6.512413545,-5.8042184,-7.219745808,-7.481652297788643,-6.287842842894018,-6.375016709038308,-7.272746964302395
2000-01-05,-6.911477042,-6.241310185,-6.711249344,-8.62010189003217,-5.149556490657216,,-6.339002344405217,-7.132924248,-6.333444883664464,-6.333444883664464,-6.536068416,-5.685512,-7.122133773,-6.827271000358487,-6.2980766444412986,-6.143102709471866,-6.865176079613786
2000-01-06,-6.846183721,-6.182563789,-6.656674163,-8.627829440004463,-5.482967100183594,,-5.875354237053694,-7.134736716,-6.826847793779437,-6.826847793779437,-7.037380306,-5.704783,-7.107388766,-6.411507414691973,-6.285130723994619,-6.220823603970703,-8.390822976088684
2000-01-07,-6.896207625,-6.230791145,-6.759364901,-8.007641624194799,-6.508355561837144,,-8.674809004541991,-7.443269989,-6.89432156821725,-6.89432156821725,-7.056193443,-6.0891915,-7.356010372,-5.486115391943158,-6.297679076578213,-6.719929215651909,-7.785120895298084
2000-01-10,-6.869625373,-6.205611327,-6.75022139,-7.593763708677688,-8.63844566514268,,-8.94786090674543,-7.564099958,-6.965123097473294,-6.965123097473294,-7.069587522,-6.156233,-7.405091266,-7.265794817507319,-6.24793598940758,-6.348017941916176,-8.608964168609115
2000-01-11,-7.037302946,-6.383225926,-6.920334116,-7.600633201638857,-9.689795105966914,,-8.967089112045937,-7.687679961,-7.248949034057467,-7.248949034057467,-7.351548785,-6.2273876,-7.458575134,-6.907256643720944,-6.212939394630403,-6.342786784879723,-7.651651714204391
2000-01-12,-7.046214557,-6.376934978,-6.888381581,-7.60752387453496,-5.83967054507815,,-8.227359541915122,-7.638784934,-7.292532202135137,-7.292532202135137,-7.439537262,-6.1181715,-7.397843856,-6.317016976545867,-6.199165681690088,-6.109563624621172,-8.921466885520935
2000-01-13,-6.964665581,-6.294206644,-6.800633829,-7.614399374267721,-5.15318457037556,,-5.42470809244029,-7.583272286,-50.179746676594725,-50.179746676594725,-7.313148184,-6.0032813,-7.33143895,-7.264855403480663,-6.199140563947207,-6.120094323032869,-10.534188534446727
2000-01-14,-6.865681253,-6.194536253,-6.69132656,-7.621330320240448,-6.186153047465302,,-6.578123964966673,-7.463071526,-7.2413975363790515,-7.2413975363790515,-7.306119045,-5.8603101,-7.246187731,-7.061480355575424,-6.161256822416973,-6.054604439003459,-7.51792247734027
