dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH st ,EGARCH-Norm,EGARCH_FHS,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-5.59264319,-5.010169758,-5.354877847,-5.619550647539687,-3.860019334289816,-2.998173083,-3.0872767409127304,-5.136580288,-3.681076682202276,-3.681076682202276,-4.162595703,-4.2764276,-5.416854818,-4.798918581408112,-4.669706429434599,-4.467988506670627,-5.606854990077804
2000-01-04,-6.162091813,-5.487717284,-5.764843753,-5.622033137474624,-7.288006644979834,-5.551963197,-6.506921492746704,-5.581575837,-4.038317932063662,-4.038317932063662,-4.470867072,-5.1002894,-5.731237849,-5.02600986112957,-4.701722889870986,-4.846147931777084,-4.94618943386866
2000-01-05,-5.913328142,-5.270870008,-5.577425744,-5.624518035720694,-4.618537843038752,-4.834567239,-3.1315827144368944,-5.362950117,-3.949126643426698,-3.949126643426698,-4.389952089,-4.8658155,-5.526335726,-4.442785835940765,-4.69399045837431,-4.471047149396834,-5.734665501843761
2000-01-06,-5.688718438,-5.075166229,-5.409820595,-5.627471934381599,-3.521505069372483,-4.443420367,-3.8674944430292726,-5.182586003,-3.8930448070113672,-3.8930448070113672,-4.261845242,-4.7477122,-5.361142281,-5.351043657838954,-4.674717057721235,-4.491658383194801,-6.085742808250168
2000-01-07,-5.469321727,-4.883094335,-5.239925035,-5.629505593333264,-3.6898237697910177,-3.962128805,-3.031300133838865,-4.988475949,-3.613240278077005,-3.613240278077005,-4.051100204,-4.1176038,-5.163820258,-4.043319640999742,-4.643977691576158,-4.445720989981606,-5.713142398350881
2000-01-10,-5.655177723,-5.040966636,-5.302133919,-5.629543013269863,-2.678816592695575,-9.698810006,-9.920087772843608,-5.010933032,-5.472545909652304,-5.472545909652304,-6.193447083,-5.7023371,-6.484961622,-4.880420197699353,-4.708959061479484,-5.810669366338231,-6.915652112946642
2000-01-11,-6.290348293,-5.503144441,-5.709473463,-5.632046860952917,-7.717728171121061,-9.389414134,-6.700636407623353,-5.458549361,-5.394834679946943,-5.394834679946943,-6.062355625,-5.7479503,-6.630415137,-4.573715708273687,-4.743828228915123,-4.919300320845539,-6.072301566126427
2000-01-12,-6.149632142,-5.381174903,-5.606450246,-5.634554201889746,-4.647111046270157,-9.242577471,-6.696947790521925,-5.351959837,-5.933567309797352,-5.933567309797352,-6.38575574,-5.8452513,-6.754737816,-5.360390899544302,-4.730657623757629,-4.951169259595893,-5.534449243362123
2000-01-13,-5.912694517,-5.183479403,-5.442319563,-5.63706996512119,-3.3218413331583605,-5.730169481,-4.243268267198795,-5.180060871,-5.61531261116314,-5.61531261116314,-6.095549663,-5.6901817,-6.563835796,-4.690457740877562,-4.727548877773673,-4.607929152168171,-7.310345645715537
2000-01-14,-5.884002984,-5.158201466,-5.46177296,-5.639590468649316,-4.893693874751244,-7.12963456,-5.337475341144732,-5.276458242,-5.436168734402752,-5.436168734402752,-5.860487695,-5.5869108,-6.431495501,-5.25373970398253,-4.732190821866368,-4.649013125529733,-6.297816443923859
2000-01-18,-5.661483128,-4.968375096,-5.29886091,-5.64211703888397,-3.5931446959840816,-6.20946984,-3.8272393218318097,-5.099481447,-5.324833965303645,-5.324833965303645,-5.728400245,-5.4349318,-6.242648203,-5.25004262910517,-4.723640031935915,-4.588921343013517,-6.807176167978104
2000-01-19,-5.80824566,-5.105242517,-5.350614503,-5.642170393599229,-3.501644585535268,-7.217531938,-9.814232429929456,-5.110976941,-6.716121427127921,-6.716121427127921,-7.030747807,-6.2213754,-7.191729283,-4.383157181280064,-4.755083432251817,-5.841977792881711,-6.7407813880734
2000-01-20,-5.581597186,-4.912925252,-5.186327966,-5.644703154725652,-2.963511089169698,-8.73294516,-3.50166706539691,-4.929989888,-6.013006236327203,-6.013006236327203,-6.55092232,-6.0461604,-6.951375661,-6.310463870317612,-4.74636216957883,-4.633850542096835,-6.323641343502032
2000-01-21,-5.380807044,-4.740820381,-5.039980392,-5.548460386369809,-2.852394943305819,-7.525781802,-5.1687681951092745,-4.778187229,-5.798740769262493,-5.798740769262493,-6.331634874,-5.9176668,-6.748316203,-4.4391899675763815,-4.732960185814436,-4.638385528046161,-6.455794683340111
2000-01-24,-5.208112028,-4.593894747,-4.91428501,-5.551562346512883,-3.0009589593490382,-6.617113648,-4.583194463916794,-4.653286568,-5.708072577348283,-5.708072577348283,-6.173223726,-5.7409534,-6.594305461,-5.387207854316058,-4.728683664721322,-4.689733160037054,-8.97528978849247
2000-01-25,-5.765244303,-5.054300264,-5.307510814,-5.554674893183502,-6.698089802419563,-7.09626938,-6.286538966355318,-5.083655782,-5.763324609936516,-5.763324609936516,-6.108970194,-5.8222254,-6.685617939,-5.977023847776118,-4.760124371431875,-4.934059323558922,-5.1162800187375135
2000-01-26,-5.571778906,-4.887563497,-5.168385408,-5.557793574480918,-4.317409096080714,-6.409999193,-4.660578645392153,-4.941217778,-5.848521474682228,-5.848521474682228,-6.090943027,-5.6744614,-6.537655116,-5.440398601510746,-4.758996481181378,-4.699995103641352,-5.443745675364469
2000-01-27,-6.674367952,-5.809524035,-5.89710638,-5.560923535416052,-8.946696530345292,-8.86940963,-7.753464625245103,-5.630587236,-6.133988076909864,-6.133988076909864,-6.335858746,-5.9643097,-6.921775853,-4.16918353724088,-4.820378273114239,-5.281754548075402,-5.343457921770745
2000-01-28,-8.152769095,-7.160097166,-6.965541295,-5.648966246436167,-10.99238485877838,-10.77940617,-9.426489486143112,-6.579388677,-6.821665722344717,-6.821665722344717,-7.019991143,-6.4968212,-7.653528259,-4.981063018867556,-4.901564477754563,-5.770252730025328,-5.66207310814191
2000-01-31,-8.715421052,-7.705113688,-7.507990724,-5.651209710015464,-11.751130450164617,-10.96140011,-7.892076792352547,-7.149528945,-7.220306200352997,-7.220306200352997,-7.294290166,-6.6546981,-7.925410462,-5.1853321204181135,-4.96035691685748,-5.377368259149034,-6.149441999833126
2000-02-01,-8.322434624,-7.367759722,-7.245719688,-5.653456630399288,-6.269701224727871,-8.757407925,-3.9339593251480673,-6.852961996,-7.091688527027759,-7.091688527027759,-7.188140288,-6.653609,-7.665409452,-5.782835743526354,-4.951425017197207,-4.781637475328377,-6.889266342397748
2000-02-02,-7.955315734,-7.054263751,-7.001804562,-5.655709918978379,-4.222203269700562,-7.958529994,-4.232790261947102,-6.58647815,-6.7888660539743,-6.7888660539743,-6.932973226,-6.2880364,-7.437547978,-5.478099122085557,-4.939683554093085,-4.80262053507525,-8.275933793693103
2000-02-03,-8.144534717,-7.206468689,-7.217398849,-5.657966270604451,-7.30370978710231,-6.219180143,-6.185437045911406,-6.884692656,-6.737170231356505,-6.737170231356505,-6.80013422,-6.3116261,-7.470119823,-6.0949000615701685,-4.950281273692701,-5.070808334576061,-7.666908418245059
2000-02-04,-8.005234417,-7.107332002,-7.208267059,-5.660227517334499,-6.943984038872308,-6.425685774,-5.178402902513508,-6.959191077,-6.659169759373791,-6.659169759373791,-6.67699782,-6.2024492,-7.330801952,-5.261301797355013,-4.961626490163189,-4.90529559671369,-7.352867755282471
2000-02-07,-7.674551624,-6.821965582,-6.979476231,-5.662494868549795,-4.484777903084603,-6.724553541,-4.915320410895308,-6.704891386,-6.696668916195497,-6.696668916195497,-6.644114649,-6.0838018,-7.178762927,-5.166315692548113,-4.963451982293618,-4.883071450219458,-6.455865095236208
2000-02-08,-7.344122161,-6.538240462,-6.746853675,-5.664765984003118,-3.5033140168926544,-5.944702379,-4.150430909216432,-6.445583515,-6.355243481302317,-6.355243481302317,-6.372234678,-5.9109869,-6.975885521,-5.121165482223656,-4.956278768387581,-4.803247005996108,-5.679252694457303
2000-02-09,-7.025717103,-6.263072274,-6.516234139,-5.667043024322507,-3.802680903206116,-5.171801264,-3.52602409730102,-6.185613756,-5.960204613081538,-5.960204613081538,-6.11798345,-5.7442596,-6.745484068,-5.329294072841021,-4.956282253901429,-4.769611859505648,-5.9687070700540135
2000-02-10,-6.736433917,-6.011320494,-6.311521168,-5.669325132858649,-3.5824459058188176,-4.526785561,-5.695513562436946,-5.99075608,-5.57183650722082,-5.57183650722082,-5.861052207,-5.5977898,-6.528494482,-5.796476045631781,-4.953466565917291,-4.762079440805,-6.268035994562205
