dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH-Norm,EGARCH_FHS,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics-Results,Weighted-Historical-Simulation
2000-01-03,-4.090970382,-3.749839154,-4.356869934,-5.049760870590702,-3.81879798240257,-4.045915730897303,-4.577515904077547,-4.446140247366395,-4.446140247366395,-4.774853446,-4.139821644,-3.807609,-4.650677175,-4.498258877358501,-4.137521136110288,-4.20746174331282,-4.245974416246636
2000-01-04,-4.482554489,-4.071509962,-4.659907637,-5.075143448179748,-5.397285234268796,-3.5842008278992847,-4.237758458438969,-4.778737400096064,-4.778737400096064,-5.000738463,-4.810094478,-4.1725598,-4.799938156,-4.645726095395695,-4.154890223665795,-4.594694335079372,-4.058903239276067
2000-01-05,-4.905506375,-4.421288016,-4.992823049,-5.076747550628454,-5.667020445679562,-5.140419425149262,-5.104401395564313,-5.008018436601411,-5.008018436601411,-5.279986335,-5.456444809,-4.563122,-4.972802318,-4.6637990027218335,-4.190428578415821,-4.729922448214129,-5.017368839629128
2000-01-06,-4.845377293,-4.303690978,-4.986248744,-5.078356357502915,-5.088857922687601,-5.219263247989239,-5.215073582164799,-4.884193385734863,-4.884193385734863,-5.402039638,-5.395898063,-4.6233095,-5.019262235,-4.347360772397563,-4.200182608831738,-4.45371900896324,-4.990338489676924
2000-01-07,-4.949321208,-4.22372414,-5.13867076,-5.0783741643560205,-5.028835867697974,-5.578151079098832,-6.267176394132127,-7.094379266322068,-7.094379266322068,-6.221750091,-8.387259462,-7.5978939,-5.632081335,-4.491638365317489,-4.314626899782359,-6.143876607451297,-6.226992274319291
2000-01-10,-4.844400289,-4.10640791,-5.08834513,-5.079985915937049,-5.555561176672765,-6.653506332196888,-5.953415953352058,-6.742635944891079,-6.742635944891079,-6.278670193,-7.325375186,-7.0335333,-5.675393468,-4.399191777661724,-4.307872041237297,-4.428747799828043,-4.405206631126428
2000-01-11,-4.824546477,-4.144147539,-5.038141752,-5.0816038570011575,-5.303001960741459,-6.176197701542329,-5.469646417715441,-6.075339736735366,-6.075339736735366,-6.077787335,-6.338460079,-6.4285312,-5.61645105,-4.76873548809827,-4.269493535519166,-4.267396164111059,-4.853065073068094
2000-01-12,-5.030722199,-4.328691426,-5.15347259,-5.083222983520185,-4.761926005439431,-5.863393742268789,-5.311614469733776,-5.878040581916915,-5.878040581916915,-6.0974721,-5.829310226,-6.0282711,-5.586251469,-4.7371133108257775,-4.220688248609209,-4.333887788580563,-5.786244613934192
2000-01-13,-4.729183286,-4.176910074,-4.99418753,-5.084843987754016,-5.226518326204742,-5.46516319304204,-4.91836630862229,-5.227084882606905,-5.227084882606905,-5.880267691,-5.127645343,-5.5360104,-5.526757923,-4.515382939022403,-4.207537596595083,-4.198480577460132,-4.59249066775329
2000-01-14,-4.427715349,-4.073981088,-4.828238268,-5.086474515915,-4.279962409650469,-4.868323989092515,-4.750963831653579,-4.693827605789523,-4.693827605789523,-5.690947012,-4.55434243,-5.1046496,-5.47982439,-4.35686217299408,-4.180973856954184,-4.179882070979305,-5.228832090291254
