dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-01-03,-4.198731365,-3.82536482,-3.975354404,-4.418314112673078,-3.463304668108405,-3.420499920917842,-3.8808225990895098,-4.476536364582196,-4.074841005248831,-6.020926945,-4.301092659,-0.038250966,-4.607353051,-4.485028780998416,-4.1305931717024125,-4.099636043685132,-5.283656889125627
2000-01-04,-4.520732761,-4.163403834,-4.369747515,-4.297496899429651,-3.815809906314594,-4.079313032749671,-4.040168877669118,-5.010141636649709,-4.281355652942479,-5.899210566,-4.855459557,-0.041427819,-4.915007902,-4.405741262595562,-4.167274382617196,-4.513549977688694,-4.311264447404648
2000-01-05,-4.444261493,-4.084061396,-4.271610699,-4.230384796151495,-3.780643798138254,-3.812604265688366,-3.8557144020798138,-4.652896489130118,-4.160480996373656,-6.045788233,-4.556051833,-0.040343021,-4.811528508,-4.273394439079256,-4.16881470592304,-4.040658160089873,-4.95898917264049
2000-01-06,-4.399919374,-4.055286568,-4.236703545,-4.152476875256347,-3.765336202018434,-3.72213471335696,-3.94650758204866,-4.567265899903685,-4.182776464617601,-6.27274568,-4.447708077,-0.040299673,-4.805249493,-4.530173167144022,-4.170167968689238,-4.173401140373866,-5.786103934668279
2000-01-07,-4.634920216,-4.311453839,-4.491026895,-4.1534920720299935,-4.156321233502576,-4.192798215231012,-4.231572769359428,-4.765829974136024,-4.47717494352074,-6.385343943,-4.716926519,-0.045121321,-5.273436211,-4.8836760444707945,-4.198815830443914,-4.731681052705602,-5.411643141215458
2000-01-10,-4.61360768,-4.270758865,-4.442531698,-4.236414727189562,-4.258333809009136,-4.251766168408727,-4.232114342761759,-4.944481485139062,-4.504662439069589,-6.415495487,-4.8542665,-0.044957149,-5.261424004,-5.406695703070378,-4.173258257574449,-4.202638471570704,-5.927350262335325
2000-01-11,-4.695671863,-4.398280258,-4.603433832,-4.192745664476376,-4.187688175675925,-4.396177179206954,-4.370781517770487,-5.32778244564993,-4.6136015033420295,-6.542598102,-5.198830821,-0.045901749,-5.365601944,-5.205143750259736,-4.197890783487643,-4.386533422513613,-5.629512771740477
2000-01-12,-4.632033261,-4.331724773,-4.525991422,-4.158746378715192,-3.6181891179297634,-4.189131624506845,-4.268331090211985,-5.156757487496644,-4.557290045515389,-6.394776613,-5.027158946,-0.045006372,-5.277788427,-3.827143070317236,-4.188389483324609,-4.128285295108783,-5.373312342895414
2000-01-13,-4.552617298,-4.250145873,-4.426740936,-4.16050834807613,-4.003662618857165,-3.908374226680009,-3.8946160447446014,-4.9840354251958905,-4.439092367185633,-6.408742243,-4.898727337,-0.043817944,-5.162762093,-3.798839241896898,-4.191057518374528,-4.099616460199993,-4.8641122948897735
2000-01-14,-4.481135603,-4.178133629,-4.340821475,-4.16227476308331,-3.7700327558704574,-3.995930462416385,-4.07275066205695,-4.819359657956253,-4.364259238732305,-6.178054672,-4.746579163,-0.042821594,-5.07085033,-3.807686150752212,-4.191000766294953,-4.129946070918517,-4.427515085456583
2000-01-18,-4.413409358,-4.108197808,-4.25920877,-4.164045182782023,-3.87880724938363,-3.9127979199021055,-3.961243735015161,-4.80031274310697,-4.271361453156017,-6.026246207,-4.748355716,-0.041805275,-4.971152375,-4.601372325672911,-4.190572678558901,-4.111873973147851,-4.0128287879522935
2000-01-19,-4.461232183,-4.147106528,-4.299627776,-4.165821741121554,-3.8479636549216494,-3.82122572754874,-4.097938355814,-4.727639708711044,-4.374655840431167,-6.745786158,-4.645781112,-0.042900959,-5.067223302,-4.303305670367015,-4.18778647165105,-4.371337925594359,-4.2005848673178745
2000-01-20,-4.437926439,-4.132401028,-4.291955067,-4.16760007258226,-3.8840218246650817,-3.9741444459658632,-4.187803986287578,-4.956808783202939,-4.360722368384837,-6.552357569,-4.844799756,-0.04231256,-5.022190732,-4.650566159775081,-4.201754393646686,-4.204444961479448,-4.840623386231676
2000-01-21,-4.366259061,-4.059923211,-4.206357674,-3.980394076675332,-3.572734820923292,-3.906940715241454,-3.96408858694552,-4.785603767009377,-4.268633602732723,-6.661725751,-4.699432746,-0.041313349,-4.92352944,-4.850523235873748,-4.203761481026151,-4.120869618947874,-5.790505708785786
2000-01-24,-4.31283599,-4.003361739,-4.141102927,-3.9811340874109145,-3.6037429027697434,-3.9561483828028376,-3.5811043576832966,-4.623801444692146,-4.221238355473473,-6.794958879,-4.539371582,-0.040618704,-4.852360284,-4.806801523067793,-4.199862570163211,-4.17088090956751,-5.534380278690709
2000-01-25,-4.238281023,-3.929458304,-4.052856671,-3.981629876187838,-3.618184539906317,-3.726734729018686,-3.791245475078991,-4.520862602872658,-4.090811381751384,-7.033638848,-4.493929394,-0.039572339,-4.740239565,-4.693894599344728,-4.144545081188647,-4.079325448750859,-4.33280394526039
2000-01-26,-4.166487681,-3.859469721,-3.970650521,-3.982621199139419,-3.222823788990961,-3.656476437860082,-3.659628094342831,-4.422753965133184,-3.9791553767815984,-7.272382105,-4.435708181,-0.038586808,-4.638117727,-4.812112818839836,-4.139215256408128,-4.076887542096768,-3.987675846483831
2000-01-27,-4.119834629,-3.812646681,-3.922205152,-3.9833679103208697,-3.4429827370263606,-3.599087119482024,-3.253997106310488,-4.438367861472426,-3.9594221420360265,-7.047465063,-4.43016223,-0.037960476,-4.590875919,-4.550677000020455,-4.131054329369132,-4.102445256134713,-5.236990443173324
2000-01-28,-4.536231535,-4.273727405,-4.455466453,-3.996686212067931,-3.532677748325015,-3.907304192426065,-3.994963449169473,-4.994862886286721,-4.255640699256067,-7.016161838,-5.014619174,-0.042595497,-5.053041654,-4.365234102187221,-4.181452958025553,-4.6954482648971005,-4.67598584712764
2000-01-31,-4.622250081,-4.309538287,-4.508227933,-3.9972603164812166,-3.840912421963403,-4.085299386153013,-4.109496969461709,-4.9648761972828055,-4.3379680484798575,-7.261065339,-4.94939767,-0.04323505,-5.114891852,-4.771474403044243,-4.20147495153581,-4.281277764611633,-4.719877350581334
2000-02-01,-4.546779407,-4.246593035,-4.432724659,-3.9978353567625455,-3.875958251164741,-4.032163088956801,-4.0392340262645,-4.703471421699916,-4.293795013652974,-7.206198554,-4.691397999,-0.042444083,-5.043316248,-4.468097356528876,-4.201131029857886,-4.174312572872902,-5.711666403102909
2000-02-02,-4.486649636,-4.171030214,-4.34230847,-3.998413324560156,-3.5055666365394176,-3.943070382956402,-3.93739766105192,-4.695322585569307,-4.192100226542268,-7.31244097,-4.709088505,-0.04137817,-4.940660182,-4.616319658079629,-4.205307699782616,-4.118348113784982,-4.429351245561335
2000-02-03,-4.437543108,-4.102446381,-4.262247369,-3.998989268733078,-3.621385781186314,-3.653466472592162,-3.847492051002964,-4.613021255096793,-4.116084900364639,-7.653154954,-4.638597738,-0.040476272,-4.849435892,-5.036984124162829,-4.203721641486639,-4.111889088069559,-4.460227119486642
2000-02-04,-4.454906479,-4.080963126,-4.245421351,-3.999574945552258,-3.542771114199649,-3.824051411415211,-3.844266293186501,-4.652993998584619,-4.115242996672454,-7.338010036,-4.652884786,-0.040227479,-4.815975318,-4.803829864837368,-4.196478811718569,-4.149966046907639,-5.624955683638889
2000-02-07,-4.832349961,-4.398947904,-4.618216801,-4.000148138483378,-3.7658935878941016,-4.089647835079437,-4.077692288549876,-5.051715150789983,-4.352786586066194,-7.394154424,-5.068742068,-0.043604231,-5.15167956,-4.041402603142724,-4.218390589511536,-4.56882543575325,-5.211349375742408
2000-02-08,-4.742232959,-4.316164218,-4.516509221,-4.000731282124657,-3.8033006030909,-3.860257369772578,-4.062861193925477,-4.674402329424629,-4.244841499990438,-7.145597871,-4.726708064,-0.042424011,-5.045111393,-4.426774643524425,-4.202168257915543,-4.09353495626793,-5.624624292857792
2000-02-09,-4.719326753,-4.25369424,-4.44452078,-4.001311436546612,-3.5595995317455342,-3.946494327151581,-3.708173354748491,-4.709549450334047,-4.190786001226803,-6.882316677,-4.751153375,-0.041959121,-4.964325581,-3.944559090018051,-4.209427464653621,-4.112296080847982,-5.262054287053797
2000-02-10,-5.263112617,-4.725607711,-4.980382081,-4.13374590486562,-4.4397226905380895,-4.492207746599841,-4.291464173474556,-5.266241042460729,-4.497644983191915,-7.043779028,-5.350370724,-0.046388879,-5.440379828,-4.52225298076804,-4.275698501753333,-4.8008452628419365,-4.939700066909952
2000-02-11,-5.193551803,-4.709010121,-4.953560628,-4.134490236579875,-4.754050172971801,-4.328595212040057,-4.595412395961366,-4.908652623203985,-4.543651010912583,-7.056860081,-4.970586504,-0.046422803,-5.453145366,-4.24636898298442,-4.27848069604882,-4.35295148692314,-6.179656509160238
2000-02-14,-5.547364539,-4.977302752,-5.266662637,-4.135287336781069,-4.746021311398498,-4.745011623584313,-4.77625241948762,-5.544145648912856,-4.74835354987223,-6.81097453,-5.570320729,-0.048823691,-5.711119983,-4.8004116374758885,-4.29913529777209,-4.663473913887677,-5.4258145045593285
2000-02-15,-5.467253844,-4.875101598,-5.137412257,-4.1360610458214095,-4.893352989463774,-4.649742736536376,-4.11830392658001,-5.171182234023998,-4.629040409387246,-6.552534462,-5.231287968,-0.047470333,-5.578191383,-3.844926930393922,-4.301787475236052,-4.151855497866777,-6.97101589199672
2000-02-16,-5.622894182,-5.154138333,-5.405253205,-4.136114336104436,-4.780645343444868,-5.055379361225583,-4.97284464806314,-5.2506719237873725,-4.976163424358663,-6.692801423,-5.377542318,-0.052753409,-6.124454072,-4.009602053661509,-4.332094342778087,-5.038028512042129,-5.208925785269671
2000-02-17,-5.510972178,-5.04658929,-5.27060041,-4.136890591379853,-4.25610912226102,-4.979385719612034,-4.905324393250064,-5.44349599595282,-4.858502838084805,-6.668117606,-5.550305541,-0.051280074,-5.98371139,-4.84783646409902,-4.331894071395042,-4.205560940596676,-5.859780287044464
2000-02-18,-5.405885079,-4.941329443,-5.139336104,-4.137670357726058,-4.96990173636994,-4.362385310984174,-4.7544256761709525,-5.319269345215945,-4.693846433124131,-6.443591308,-5.464649194,-0.049762884,-5.838015889,-5.00594414994662,-4.3335632558828605,-4.196531438505176,-4.78859005240293
2000-02-22,-5.4239709,-4.931766778,-5.13754435,-4.138449007490226,-4.028030204771118,-4.869130713637033,-4.785007658813146,-5.478082838196418,-4.730996799788009,-6.562748853,-5.578144665,-0.04950841,-5.82463311,-4.368685968588627,-4.348364594786615,-4.361444603178878,-5.692518670871804
2000-02-23,-5.344972553,-4.838034383,-5.02423699,-4.139229822666426,-4.012960994424199,-4.775863883935927,-4.673024864942748,-5.273889744906881,-4.638166020367202,-7.689147933,-5.396759208,-0.048262506,-5.701961962,-4.244587349939569,-4.352836662137404,-4.222783829900754,-5.211946988045851
2000-02-24,-5.560834969,-5.005723028,-5.232231614,-4.1400150384866725,-5.081880530435989,-4.907542777612542,-4.843299812269085,-5.65590308286497,-4.818932359950136,-7.888615139,-5.703018471,-0.04998426,-5.887705952,-5.092778844129022,-4.37325333625772,-4.615066902508088,-7.445338233368157
2000-02-25,-5.675602169,-5.045686911,-5.288910094,-4.286524483607037,-3.77735237486155,-4.948109995786325,-4.946336290633881,-5.698174865284206,-4.914712494490465,-7.897820631,-5.701365265,-0.050522666,-5.955872874,-4.200410605811839,-4.391647267297563,-4.4678001676571135,-5.973206104395675
2000-02-28,-5.601747199,-4.94543957,-5.165157106,-4.290090522353996,-5.038904990875573,-4.861132318126793,-3.8070135330314256,-5.453480486428212,-4.80933702422526,-7.768590999,-5.48421696,-0.049170391,-5.829141741,-4.562720827687809,-4.39185275283859,-4.244216162030919,-4.424940128238475
2000-02-29,-5.745460033,-5.205208587,-5.419157959,-4.292206167305736,-4.703177256916267,-5.2088190772126,-5.144964397360302,-5.527562237913312,-5.151666159553721,-7.713701805,-5.609932611,-0.053981234,-6.337241563,-5.275343389292721,-4.419557759273767,-5.071170224206473,-6.2089409287476895
2000-03-01,-5.631142764,-5.095320407,-5.282407326,-4.295805289124797,-5.1085005510260775,-5.1276649884858845,-4.994563735224951,-5.61079135401245,-4.992067873764012,-7.507019101,-5.736829797,-0.052374317,-6.168040435,-4.874250757869206,-4.418623326500791,-4.261782225038359,-6.137352662285323
2000-03-02,-5.521335536,-4.993215859,-5.15784524,-4.299423655989693,-3.799890441148386,-5.043731406584011,-4.874122764156372,-5.432883484299155,-4.874862689147773,-7.887088663,-5.580051263,-0.05093807,-6.023071426,-3.650208335560783,-4.411436010541752,-4.268464022543599,-5.92673849242461
2000-03-03,-5.413532201,-4.891846285,-5.034615503,-4.30306071219514,-4.609570642983887,-4.171644868515001,-3.531494801900876,-5.302983908699845,-4.746031901669078,-8.073506854,-5.499076705,-0.049461076,-5.87691462,-4.522497828437696,-4.408609656194139,-4.260524536363692,-6.865911260427675
2000-03-06,-5.369729947,-4.839514409,-4.981156203,-4.304511459527528,-4.87698221899621,-4.384221927344068,-3.619714016532922,-5.396028063707224,-4.728665960659239,-9.271406987,-5.552498457,-0.048672307,-5.807898774,-5.842616441069258,-4.409711108844422,-4.333235064084339,-6.37303208261262
2000-03-07,-5.288910529,-4.75155566,-4.87834242,-4.308168819276906,-4.776542659940534,-4.818910499344067,-4.651068560577304,-5.259314807615083,-4.647904222649863,-9.825471157,-5.405918382,-0.047492196,-5.694592281,-4.32027272064317,-4.388597006635659,-4.2312855776054406,-5.947117522329841
2000-03-08,-6.422730021,-6.060347309,-6.122023525,-4.310352586082402,-5.394354325448988,-6.200599661264576,-5.415083960155231,-5.650459223955249,-5.5149401708616566,-10.82411679,-6.618005387,-0.067116683,-7.546829706,-5.485948767930823,-4.550187381569333,-6.769167365720245,-7.181071205676948
2000-03-09,-6.292691715,-5.926804549,-5.960503726,-4.314045268593693,-4.517000882505683,-5.667967508041639,-5.223828880746523,-6.037646665639468,-5.369969082581799,-10.72781741,-6.95255416,-0.065013667,-7.331071996,-4.420963530670441,-4.547705343983962,-4.392417893561185,-6.824649195816695
2000-03-10,-6.292139624,-5.874509909,-5.902928331,-4.317756446135251,-5.761359635672599,-6.080716020086544,-5.302724624891615,-5.949712297830177,-5.438384753063189,-10.61455657,-6.788702273,-0.064413723,-7.31634527,-4.966806934302631,-4.552324276660153,-4.662256775817875,-5.6710324312286975
2000-03-13,-6.333634896,-5.994169296,-6.073730547,-4.321486188649012,-4.384742275335561,-6.163676593912962,-4.148590456562796,-6.49605969288778,-5.5896139836293495,-10.49075651,-7.238181825,-0.064830304,-7.425508173,-4.708161155892089,-4.596790861237536,-4.864703910674742,-5.696589292738188
2000-03-14,-6.207951295,-5.870010716,-5.926732205,-4.325233755169283,-4.299092113649218,-6.004087584181511,-5.3653524128371375,-6.192475586502558,-5.48334067052171,-10.31651077,-6.918043523,-0.062974219,-7.242242164,-4.426526043312268,-4.601611688551309,-4.452188857833026,-6.954331680722678
2000-03-15,-6.297307079,-5.913999535,-5.974607373,-4.327975102153649,-5.623440758162256,-6.122097683885548,-5.386836330535775,-6.127333383261784,-5.678229599532848,-10.28547943,-6.795178557,-0.063990797,-7.407667162,-4.883323903497611,-4.621911545358716,-4.953334299530412,-5.994815710709143
2000-03-16,-6.205161609,-5.798480633,-5.838886856,-4.332609798355263,-5.266278940487092,-6.030872892152703,-5.489002091440525,-6.185588427643283,-5.599852557194995,-11.46700776,-6.820279282,-0.062396528,-7.261342991,-4.456585624341526,-4.622132478668443,-4.523825628586117,-6.328134098379128
2000-03-17,-6.083622367,-5.672215802,-5.687554256,-4.33659925900052,-5.149752500604223,-5.918211831565437,-5.3002870996268125,-6.051624928145564,-5.425383775790387,-11.7082485,-6.719555422,-0.060444016,-7.070591578,-4.989256577346537,-4.6229437108327485,-4.464807487115457,-5.065245038153497
2000-03-20,-5.965622203,-5.565298795,-5.567077658,-4.336503858548316,-4.085437254618032,-4.722721598850735,-5.103119219092928,-5.9980197601436505,-5.325712793255407,-12.06480878,-6.65143358,-0.058811234,-6.911976734,-5.9690530158870825,-4.621458701425917,-4.4963469452124345,-5.941581383915564
2000-03-21,-5.845270273,-5.448659006,-5.430930574,-4.336689229962208,-3.399641500908463,-5.737252378216144,-5.090558965286978,-5.81701234267329,-5.197217773848818,-11.73990512,-6.484249129,-0.057071824,-6.748806944,-5.019459453483588,-4.604112029910995,-4.459467056471596,-6.258416373494733
2000-03-22,-5.9535047,-5.504948279,-5.498423774,-4.294721003632574,-5.189515842929212,-5.83730279390297,-5.277653934756116,-5.776763842751983,-5.378245271031815,-11.39435879,-6.364463127,-0.058406837,-6.907610597,-6.331347416965872,-4.620726966050433,-4.929673960589905,-6.001886151003017
2000-03-23,-5.903911556,-5.498944573,-5.515504727,-4.287983153634756,-5.347812732053873,-5.339060860453043,-5.3259042737310045,-6.180557262987473,-5.3993057237551305,-11.62450827,-6.692592502,-0.057749585,-6.856944869,-4.412048496231679,-4.642388494275108,-4.684201313025524,-5.227665523370884
2000-03-24,-5.797649146,-5.384962988,-5.382113634,-4.291601678767029,-3.864699646236932,-5.699483099128385,-5.172160361837934,-5.786169623401976,-5.262956695326277,-11.32613058,-6.351692317,-0.056034422,-6.698515581,-4.866974588116525,-4.629430118599613,-4.486068697640255,-6.188788513112465
2000-03-27,-5.711065872,-5.282983076,-5.265914811,-4.2952382351407215,-3.738712906073833,-4.305342264647784,-5.146423043352256,-5.661923888770509,-5.188393621050707,-11.16161774,-6.214680261,-0.054652345,-6.570309052,-5.277513459325827,-4.624192648153175,-4.518194575382961,-6.479163163234248
2000-03-28,-5.614576724,-5.200817891,-5.180754281,-4.298894258650436,-3.774294050249961,-5.35215974802122,-3.700031997725024,-5.743230751664739,-5.124354653442801,-10.75345781,-6.180624545,-0.053410875,-6.448700916,-5.10369622335849,-4.631457501839245,-4.527874966959713,-5.724274328956965
2000-03-29,-5.506980529,-5.091741362,-5.053891183,-4.302569511242885,-4.400820211919479,-5.37269873867235,-4.941661011800027,-5.451629973426187,-4.962494831793418,-10.37258435,-5.961746618,-0.052094411,-6.28625814,-4.851898886442094,-4.610196799567475,-4.465947513397926,-7.17567779887253
2000-03-30,-5.709278763,-5.242796294,-5.224530339,-4.305924326443173,-4.434889137508592,-5.665405039290811,-5.191909182410203,-5.49699299179963,-5.221876103363702,-10.0342361,-6.059547666,-0.05487441,-6.597753867,-3.854117187366318,-4.608346643710092,-5.055716348425539,-5.352960680004594
