Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-8.036218591668346,-4.434935316945083,-5.303821227659585,-6.000216021752117,-4.226520024147069,-4.074841005248831,-5.005213689379194,-4.7792427215378614,-3.6615906243849,-4.540101187748617,-6.555054058583551,-4.368076940784997,-6.486853841603386,-3.768273297139649,-4.815480559902051,-3.6078311254039694,-4.175569742447448,-3.9910437254600177,-4.2860001274003965,-4.343256795354245,-7.716451053867797,-4.661387649795023,-3.8770946836915106,-4.302154573646631,-3.8855903126217153,-5.464873265833278,-5.18674564378798,-4.1492535050221155,-5.434964409336051,-3.3829491136975935
2000-01-04,-9.50208201504012,-5.454789681266807,-5.439469921250641,-6.141550694969904,-4.106404989412979,-4.281355652942479,-4.91014983773048,-4.837229488289547,-4.1185684523810675,-5.424912131011212,-6.64878455195102,-5.569777510174002,-0.0,-3.893981893113142,-5.748836816843985,-4.233738073670879,-4.253093082592244,-4.147281647985761,-4.126178406052932,-4.1827217432194965,-7.504076464359137,-4.717781373725298,-4.018315682099141,-4.733367609199425,-4.076355271923036,-5.588604840721739,-5.6196632178337955,-4.401916131865814,-5.746358200049347,-3.9404516668006684
2000-01-05,-10.643769165999558,-5.919013196023086,-5.312203072734433,-6.084260799947741,-6.4467636333027,-4.160480996373656,-5.0334158739989725,-5.372666265953501,-4.7151023798332155,-6.290571858097234,-7.458465661488054,-5.854718469677464,-6.705618960404476,-4.519639279249199,-5.819963745983598,-3.9571996100814384,-4.344938538241313,-4.334842143656788,-4.629385947837221,-4.9527032944732845,-8.182466082111112,-5.207519107150378,-4.123235527504416,-5.977692101097621,-4.080151007447076,-5.760732901973309,-5.967526788094866,-4.829985490697303,-6.110589766950399,-4.139193152769642
2000-01-06,-9.696232285566317,-6.077687894508965,-5.713716806158214,-6.121733846314277,-5.894339655275738,-4.182776464617601,-5.217869706321541,-5.594660926795599,-4.410920658761349,-6.134930437445175,-7.18383749032911,-6.046621147211623,-0.0,-4.272284123234076,-5.585009968043671,-3.8435254190488304,-4.359019302744892,-4.420682561325536,-4.994526167828017,-4.723698778783071,-8.592059877098093,-5.166524693486895,-4.21853072325388,-5.710530027515994,-3.961600572926252,-5.372300073762777,-5.856937354920353,-5.066969607394044,-6.069121841181935,-5.291977992891999
2000-01-07,-10.871537847865246,-5.98143958831131,-5.6456545499031865,-6.273641274590846,-5.932215259566692,-4.47717494352074,-5.308618362543581,-5.857432250490174,-4.32214294117487,-6.812920171215734,-7.7769023060460665,-5.994943853573019,-0.71152489334617,-4.519307746149422,-5.4878593982684984,-3.5770735339594437,-4.357497253688658,-6.55313462905335,-4.660465865648233,-5.310016401415359,-8.02080420643228,-5.493395925069326,-4.687589003812477,-5.81361405849666,-4.0889051883133565,-6.904295571383653,-6.351076324584256,-4.860647803625633,-5.781156964410703,-6.284144321904847
2000-01-10,-10.524274563230081,-5.789619800679711,-5.736005955677287,-6.340925183257777,-7.25641960460395,-4.504662439069589,-5.322215949073899,-5.8120834008608115,-4.759808080735665,-7.513454876592575,-7.643447477361565,-5.7513334907853,-6.516669255639819,-5.002111471248712,-5.437945968292565,-4.85833146158629,-4.499979043045497,-6.136280788458063,-6.392800517825571,-5.050649974522101,-7.3831812235926995,-6.491520797228385,-6.156720950152794,-5.4908654792140625,-4.6599319769635,-13.607262743252283,-6.524823317426211,-4.699430935195767,-6.81424298860021,-5.206269513940655
2000-01-11,-9.742106718918865,-5.608609013322418,-5.704288348167467,-6.397374295512952,-7.4084265142412535,-4.6136015033420295,-5.432587917937335,-7.688864764457256,-4.45322286643224,-6.876972249067049,-8.22877998289084,-6.043320436898636,-0.0,-4.930895595035565,-5.461800128540991,-5.191686611107409,-4.347604649889627,-5.525497610181511,-6.109284194428695,-4.7471012307494265,-6.956787120986166,-6.0979914517340745,-5.698857964962267,-5.352455792625646,-4.7306761332820555,-10.880030113361697,-6.137048556526816,-4.510060510152165,-6.6493392691330095,-4.846841895740982
2000-01-12,-10.009993647436346,-5.362094074084797,-5.713029988980186,-6.377573112915123,-7.504833559714472,-4.557290045515389,-5.304935440424592,-7.420809034328691,-4.129645101989763,-6.818078028335516,-7.971132942923266,-5.792549378441629,-0.0,-4.256006979198483,-5.543891360556697,-5.455911320383473,-4.459264562066571,-5.332467840091643,-5.378779651136594,-5.104854322268576,-7.651394752711961,-5.909073373070399,-5.517540523055622,-5.224948675045305,-4.629693743944312,-8.645027779584323,-6.156078674870908,-4.407486401257206,-6.454773856046425,-4.169572643752337
2000-01-13,-10.459914994189415,-5.119626755937101,-5.594306979541019,-4.358797108495539,-7.4061610603217884,-4.439092367185633,-5.3144750956314,-8.337845828266492,-3.869146987680679,-6.362225914582001,-7.932995913047951,-5.507598199606453,-0.0,-3.984159948176464,-5.343156197012976,-5.233230556533869,-4.831008319944303,-4.806175054943209,-5.1659625402941565,-5.574587472807236,-7.657975034240908,-6.118336068122535,-5.26235919784545,-6.082839356445585,-4.336428929693262,-7.584956163509731,-6.135071578120714,-4.812208325469766,-6.32559078887924,-3.805718291902839
2000-01-14,-11.744539495032097,-4.8448587350959516,-5.586428857850233,-6.329868595825868,-7.028189839589386,-4.364259238732305,-5.121771553636613,-8.369475132968814,-3.7935093130934767,-6.100652476237797,-7.502809856120049,-5.408687895363081,-6.310681919950688,-3.6163762584375405,-5.26397333295413,-5.168464366364574,-4.74421413324241,-4.338703061260977,-4.717729216769392,-5.389366574873427,-7.11031509821376,-6.724967091615665,-5.224433576667842,-6.1945450895726255,-4.445358639940691,-7.94373375568208,-5.828525653547634,-4.708390694884574,-5.8248991254601785,-4.083081630755555
