Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-03,-9.328866104377685,-5.4405044170021135,-6.520832344997119,-6.0795296238821965,-4.523855269646902,-4.476536364582196,-5.789928879493506,-5.390555022523676,-3.8087047839174293,-5.200499050511428,-6.937922279378183,-5.288533512963424,-0.7718682806316739,-4.03799905137639,-5.270550407939339,-3.681076682202276,-4.9458247181215045,-4.446140247366395,-4.345774394939925,-5.193515397155954,-9.468384482981703,-5.038890838076002,-3.910529108987914,-5.505508061690282,-6.214871448152992,-4.474369426475987,-4.28108059717526,-4.455175622040893,-6.592698304441016,-3.866310858144365
2000-01-04,-10.956369135952341,-6.683404118385609,-6.790719507742417,-6.285750055055429,-4.41811582359746,-5.010141636649709,-5.5034547338440625,-5.313099687473177,-4.203216613017387,-5.9544705871427235,-6.837511025344557,-6.647334784172808,-0.06298483852319647,-4.12826883028561,-5.830764930842033,-4.038317932063662,-4.7931747173066706,-4.778737400096064,-4.17861146375861,-4.994942685510265,-9.34003389405427,-5.053243494184515,-4.1034532463356665,-5.6279079798815514,-6.255969713634125,-5.387255916422009,-4.469756079592896,-5.022583621630204,-7.069989156650505,-4.52852701283726
2000-01-05,-12.542152473473108,-7.229377996847551,-6.6495669660339365,-6.333444883664464,-6.642586709226497,-4.652896489130118,-5.503803946288724,-6.367772796234985,-4.772202093333206,-6.85695860326253,-8.168515048507533,-6.903552202027032,-0.422781592744484,-4.772516049998148,-6.11236825014679,-3.949126643426698,-4.876039905205237,-5.008018436601411,-4.683862973269658,-5.912056454383528,-10.228143719948669,-5.473862229261518,-4.1915004961785325,-5.799474521053507,-6.618805895679458,-6.750828725235547,-4.487044809163312,-5.506906468725365,-7.479717802649799,-4.783480384342034
2000-01-06,-11.198777638221012,-7.350050998971651,-7.146009239240173,-6.826847793779437,-6.0658883910844175,-4.567265899903685,-6.102923766516857,-6.602431524484182,-4.535981547456112,-6.878198690044393,-7.5387417771292675,-7.094250230497883,-7.251369258355506,-4.644290537443579,-5.997143029296957,-3.8930448070113672,-4.901573924626937,-4.8841933857348625,-5.058635978980353,-5.573453952349942,-10.328561258702711,-5.667105372450123,-4.281345398561344,-5.447506568541206,-6.687794374367154,-5.923770902506854,-4.376291010121011,-5.002978683612114,-7.399937144635703,-5.712975014361032
2000-01-07,-12.73766439322172,-7.252191192028179,-7.044720157892256,-6.89432156821725,-6.115546077382896,-4.765829974136024,-6.10558180878431,-6.674708967976653,-4.477527356735448,-7.450316231970029,-8.429143168457507,-7.063777532515807,-0.24875449114523424,-4.966750332344297,-6.056243082901682,-3.613240278077005,-4.9064842175363,-7.0943792663220675,-4.716162042938187,-6.324538003278886,-9.861272172403513,-6.091845523121517,-4.619669828249953,-6.955261413189191,-7.848868069153132,-6.201778113896232,-4.530027975652741,-5.137818948241541,-7.013499265572537,-6.815247744504586
2000-01-10,-11.881870628955753,-7.041058661757454,-7.174379378641278,-6.965123097473294,-7.337830489498238,-4.944481485139062,-6.090019753258182,-6.691602875838905,-4.9705790215748165,-8.450328255498029,-7.830683663128795,-6.771407761341514,0.180464094607205,-5.256362241375535,-6.041111886397588,-5.472545909652304,-5.066914285781093,-6.742635944891079,-6.449000531316536,-5.93176756699648,-9.079054242973863,-7.264472703089018,-6.1116924574033575,-13.717173439056277,-7.985845163110626,-5.67297676224525,-5.143113347661414,-5.003500596714888,-8.330213267815033,-5.915913879497242
2000-01-11,-11.243083040583517,-6.806955306945154,-7.152816553424874,-7.248949034057467,-7.526550465820662,-5.32778244564993,-5.934376897989959,-9.214307269859017,-4.578377821271728,-7.630750769796871,-8.278075345175742,-7.079543905327639,-9.167823250321453,-4.981799410257075,-5.804840189506264,-5.394834679946943,-4.903175643347993,-6.075339736735366,-6.143686944142883,-5.604856298970513,-8.477978489156266,-6.540786295542971,-5.754555954933084,-10.90477756713322,-7.269221552503797,-5.51508814237097,-5.180764168279983,-4.814225419474024,-8.27569100812248,-5.595536585841752
2000-01-12,-11.647803674713458,-6.484885801458422,-7.0031203280972,-7.292532202135137,-7.663984649427807,-5.156757487496644,-5.844396070928178,-8.59425671123764,-4.264055572315641,-7.524929330148999,-8.406929756290037,-6.813274359483206,-8.208879743919184,-4.382748687760296,-5.856937848284581,-5.933567309797352,-5.01745130960386,-5.878040581916915,-5.403939206741468,-6.057926609422201,-9.22458808267879,-6.291194136828545,-5.537674368417775,-8.682919132699922,-7.0069051702091985,-5.626233127407998,-5.09016648849247,-4.777407900221451,-8.037388313122772,-4.7712923286650915
2000-01-13,-12.233222630836456,-6.211748569910424,-6.8580258866897275,-50.179746676594725,-7.552465363001671,-4.9840354251958905,-5.978241018539234,-9.457300368572993,-4.003988050488014,-7.06677445048862,-8.12189792020014,-6.494772191378733,-0.10255380341218938,-4.07504599319179,-5.786931627881556,-5.61531261116314,-5.4380889699584545,-5.227084882606905,-5.18415994217426,-6.578646785977548,-9.534496003823001,-6.716380787839342,-5.325383135092283,-7.615619275973202,-7.381496593549714,-6.775154594010582,-4.795446150869489,-5.470445074204323,-7.887967425395901,-4.462059308662228
2000-01-14,-13.109093725291844,-5.874262028001709,-6.841647255918182,-7.2413975363790515,-7.15007282241152,-4.819359657956253,-5.764419095674448,-9.640389705791865,-3.94388819281002,-6.829053844953694,-7.82351447628839,-6.392774842307643,-0.22166511551486012,-3.724734383234388,-5.776021277833243,-5.436168734402752,-5.34329303246272,-4.693827605789523,-4.732314294323416,-6.29247383880481,-8.626244077556247,-7.44447113861649,-5.29327091759858,-8.014347315140641,-6.922079846329131,-6.685948609322868,-4.924852979025701,-5.082525600397277,-7.128769808492499,-4.596519543130433
2000-01-18,-12.778473174244606,-5.9655521305274055,-7.045860306323091,-7.114959148233389,-6.587141811022527,-4.80031274310697,-5.623501623548064,-9.692922040224598,-4.027593494966466,-6.2977603836270974,-7.470912250435842,-6.236848673261013,-3.6172385770011077,-3.5280055364147747,-6.2072298240938935,-5.324833965303645,-5.1765914472549035,-4.647325261065718,-4.512377045516646,-6.76154851151122,-8.425747087467778,-6.690300836839264,-5.182530693393954,-6.856879574852746,-6.6768347827549315,-6.37001262667833,-4.60967588576791,-4.759074378456783,-6.7080605007363046,-4.9509319287839935
2000-01-19,-12.200300937855861,-6.9359741327175515,-7.092513125326757,-7.186949616854371,-7.070923441409223,-4.7276397087110436,-5.86599214027429,-10.093802598398254,-4.183318728119615,-6.359233217305519,-7.133373957883239,-6.584325350492033,-0.15264851002949503,-4.04069572851084,-6.101448869600462,-6.716121427127921,-5.32557330537591,-4.866792013658627,-5.252263706111119,-6.7512729257544875,-8.156945146935861,-6.430209966891319,-4.877077181161275,-8.270354769636542,-6.570100416055333,-6.665815691526874,-5.139947700653165,-4.998842628606366,-6.516586714629918,-4.512355609854642
2000-01-20,-11.489733002747291,-6.867939755566173,-7.5393182829171215,-7.08491483274532,-6.254089456021494,-4.956808783202939,-5.967655667231285,-9.575883666854915,-4.025355490861239,-6.400181805318301,-7.039587919396099,-6.744457056557217,-0.12765114990739682,-3.812665301557996,-7.12155832785549,-6.013006236327203,-5.334741284487823,-4.751685035485707,-4.925015564212546,-8.669419310525074,-8.43436735575981,-6.332833573526754,-4.7928433521806015,-7.362942930088654,-6.668061930465734,-6.469626542396215,-4.869130098884706,-5.625992322738198,-6.692325689868982,-4.3179032403077855
2000-01-21,-11.902669517853994,-6.705962682490963,-7.557481420607052,-7.270433873626025,-5.697486660325741,-4.785603767009377,-5.980595240147383,-9.567718002996845,-4.123210046359498,-6.271602238401266,-6.790561095747566,-6.514267814585637,-122.75896748751893,-3.5957950044771403,-6.532387328395995,-5.798740769262493,-5.129991023851712,-5.463376881360364,-4.844830291207105,-7.712915034190363,-8.461668592579342,-6.1241220257067965,-4.967395158001336,-7.5494914732963725,-6.70783108480974,-6.0244838351722105,-4.684020185872068,-5.040838060581179,-6.448967798220712,-4.846059165767556
2000-01-24,-11.367410399274572,-6.271921438745885,-7.550196901710673,-7.034438027549198,-5.895461072153376,-4.623801444692146,-6.163936874497506,-9.602163914616488,-4.12411124802058,-6.107202025810182,-6.98847522178851,-6.494876413075259,-43.25115458512911,-3.9488021076375412,-6.353911974056707,-5.708072577348283,-5.473080055222126,-4.921772102435354,-4.615614168019312,-7.422141352519173,-8.132841765994984,-6.403637385819432,-6.519886098807356,-8.6763879604468,-7.092381939336826,-6.3396436597238415,-5.138216857209553,-5.070114011697376,-6.372279464437978,-4.531250596153758
2000-01-25,-11.724043224103623,-5.875986009516584,-7.692234282251024,-7.223678508589687,-7.41465864709071,-4.520862602872658,-6.685455145053808,-9.488625731672972,-4.6862917451342065,-6.454183051927596,-6.600750349286765,-6.220621198485405,-51.752346817989945,-6.007189322112206,-6.129118502102169,-5.763324609936516,-5.825846970940603,-5.112063225321856,-4.913003953224422,-7.281088642823042,-7.939256868431092,-6.3978738403259054,-6.073783825935524,-9.926995914022985,-6.5989336025798675,-6.8190249153510285,-5.259076634896758,-5.23962718888653,-7.3465401805813935,-4.416812883106326
2000-01-26,-11.631774958477216,-6.433823773298734,-7.847493563380811,-7.319489374776145,-7.165834466336055,-4.422753965133184,-6.642058784811588,-11.773640002369927,-4.495119436278772,-6.722248257001174,-6.3664880617632695,-6.320107879887128,-0.15399240586622598,-5.1627882876448865,-6.297049595747261,-5.848521474682228,-5.617452164957936,-4.988870340672551,-4.684046955423633,-6.745485190513512,-7.662283286301723,-6.366957573338082,-6.806788763502715,-8.046226845615806,-6.961803283506405,-7.634449334071238,-5.398109384545601,-5.764728474027394,-7.308503069800896,-4.02409454753583
2000-01-27,-11.134526035243443,-6.189308401931333,-7.676088734022312,-7.171002337268116,-7.913982705990278,-4.438367861472426,-6.558652829042024,-11.413367687394603,-4.603283392842039,-6.7305796456414395,-6.760358494747824,-6.395503914825104,-8.512367554526794,-4.597009494038468,-6.994215322044394,-6.133988076909864,-7.672487960191417,-6.150259360348137,-4.8933744239295685,-7.133433305614893,-7.181434417888327,-5.876440070304945,-6.784322654847763,-6.92099427683416,-7.031789452954541,-6.819232055201638,-5.761514981847663,-5.55493069858021,-7.022382082939218,-3.9344906711471532
2000-01-28,-10.12734611066563,-6.196536120602627,-7.728512188569186,-0.01650407356835118,-7.078428483531486,-4.994862886286721,-6.355233824371242,-10.978861820613721,-4.237854243469114,-6.450844166208096,-6.360396356809786,-6.612598613880549,-9.95432375216046,-4.88207627002537,-6.754537315428343,-6.821665722344717,-8.16937874430018,-5.606622065015635,-5.571753125285623,-6.539555959017807,-8.20324199631107,-5.654905696444461,-6.886126234958047,-6.822948520105262,-6.956315835748256,-7.0519381073255785,-6.684311492436305,-5.091351585463379,-7.766646862410415,-4.96421317648699
2000-01-31,-11.799069277473295,-6.539823860900483,-7.634865139695439,-0.0385773243075593,-7.15716295803485,-4.9648761972828055,-6.464136988127034,-10.4903527384134,-5.024069813592359,-6.984093983697938,-6.0661798224259815,-6.605611948326698,-1.8354271492645764,-5.802974226840194,-6.532051383391545,-7.220306200352997,-8.031971186354491,-6.31767053270023,-5.6584555301670285,-6.081558464211868,-7.582043399406818,-5.806487380872193,-7.111200700097883,-7.43935300313355,-7.406337313652591,-6.395077425196514,-6.63183528347589,-5.182930816457983,-9.030490590544492,-5.406333806838217
