Dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2000-01-24,-9.3914784,-5.3414614,-5.964494,-5.9596718,-5.9504045,-4.0618704,-5.3440249,-8.6465245,-4.099357,-5.1353076,-6.6087181,-5.2913541,-6.9968202,-3.9823933,-5.7511846,-5.7409534,-4.617162,-4.7945671,-4.4743823,-6.01928,-5.6286964,-5.8231125,-7.2782761,-5.5053147,-5.8424167,-4.7469103,-8.3222797,-5.244798,-4.9509468,-4.5351304
2000-01-25,-9.500378,-5.1976238,-6.0045938,-6.2752481,-7.103974,-3.9572339,-5.4979094,-8.4070039,-4.5788366,-5.5097561,-6.4233025,-5.1407575,-6.9386143,-7.0947835,-5.5957136,-5.8222254,-4.9230353,-4.7945831,-4.6874655,-5.9710004,-5.7295931,-5.6260252,-6.7703288,-5.3873867,-5.7610943,-4.7349469,-10.0063031,-4.983108,-6.0315972,-4.4293647
2000-01-26,-9.6981425,-5.4871685,-6.0619914,-6.3911734,-6.8656436,-3.8586808,-5.6372646,-12.5709067,-4.4497074,-5.7550615,-6.053436,-5.1486621,-6.9293445,-5.6729819,-5.5116764,-5.6744614,-4.8002701,-4.6054147,-4.5208269,-5.6691357,-5.5932098,-5.3786344,-7.5022814,-5.8942101,-6.9611602,-4.8254117,-8.1938543,-5.0527961,-6.0326186,-4.3077644
2000-01-27,-9.038124,-5.3593962,-5.9093216,-6.3836215,-7.372125,-3.7960476,-5.4701814,-11.9274444,-4.4464701,-5.5802514,-6.2093557,-5.1581898,-6.9728488,-5.0524745,-5.9755379,-5.9643097,-7.0958911,-5.8377294,-4.5916756,-5.649837,-5.4311922,-5.2035784,-7.4372332,-5.7232361,-6.5633921,-5.142742,-7.0217847,-5.0596495,-5.6087317,-4.2067801
2000-01-28,-8.4929739,-5.3079771,-5.8929841,-6.2109563,-6.9248842,-4.2595497,-5.3841905,-11.2475626,-4.3239726,-5.3142256,-6.0858129,-5.2830376,-7.2159471,-5.2318537,-5.9529998,-6.4968212,-7.3353253,-5.3709337,-4.5424042,-5.2394652,-7.3518906,-4.8931123,-7.0586762,-5.8116566,-6.4710499,-6.4203075,-6.6397659,-4.8270013,-6.3107284,-4.403922
2000-01-31,-10.082316,-5.4012489,-5.7491224,-6.171677,-6.9089681,-4.323505,-5.541979,-10.6046529,-5.1299124,-6.1544857,-5.9207983,-5.2382903,-6.9673533,-5.8654261,-6.401823,-6.6546981,-7.1927591,-5.8588154,-4.609843,-4.9518465,-5.4332149,-4.8625598,-7.1333164,-6.2325968,-6.1424938,-6.1936751,-7.1129729,-4.7589468,-7.8151299,-4.5338302
2000-02-01,-9.2985027,-5.6293248,-5.5927461,-6.1453012,-7.4806918,-4.2444083,-5.4380769,-10.0186471,-4.9791823,-5.9381178,-5.8205131,-5.1008636,-7.7564827,-5.1831388,-6.7996254,-6.653609,-6.9988854,-5.4926527,-4.739341,-4.7663134,-6.2322714,-5.0020822,-7.2118882,-6.1075002,-8.9095782,-5.858162,-6.3605633,-5.9929069,-7.191216,-5.0754213
2000-02-02,-9.0645254,-5.634965,-5.514658,-6.0342875,-9.3258346,-4.137817,-5.4710133,-9.4510654,-4.8849973,-7.5725586,-5.7940479,-5.1169685,-6.982838,-4.7293668,-6.8411312,-6.2880364,-6.8553011,-5.0816146,-4.7205667,-5.8894765,-6.0182126,-4.9531585,-6.7301674,-5.9514676,-8.390796,-5.9391506,-6.6578675,-6.3127721,-8.3805174,-4.9310602
2000-02-03,-8.62393,-5.6944911,-5.4729142,-5.9163052,-8.9650333,-4.0476272,-5.7247259,-9.231929,-4.8184989,-8.1088384,-6.1861978,-5.2471247,-7.0357005,-4.2580232,-6.7163292,-6.3116261,-6.8478973,-4.8964233,-4.4979403,-5.6094072,-5.5906818,-5.2046461,-6.8071806,-5.7700558,-7.8973662,-6.6564352,-6.7623304,-5.7855373,-7.7455966,-4.7973928
2000-02-04,-8.8616772,-5.5683912,-5.5140675,-5.8741896,-8.2533893,-4.0227479,-5.5371422,-8.7689126,-5.0679319,-7.6149114,-6.1999391,-5.3565132,-7.1683098,-4.356625,-6.53758,-6.2024492,-6.6807625,-4.6105019,-4.3406198,-5.6477466,-5.3755206,-4.9815088,-6.3806488,-5.6598038,-7.4897571,-7.0472625,-6.2514338,-5.7374256,-7.0499602,-4.7476846
2000-02-07,-9.081689,-5.4489621,-5.4094513,-5.7114612,-7.8693778,-4.3604231,-5.5176457,-8.2673397,-4.9766132,-7.0164694,-6.4057649,-5.2614754,-7.1537119,-4.1487029,-6.4273279,-6.0838018,-6.4695755,-4.8216617,-4.3389495,-5.4508262,-5.9707475,-4.7364464,-6.631964,-5.6926725,-7.1452012,-6.6543484,-6.4605636,-5.5066071,-7.0595807,-4.7681848
2000-02-08,-9.5584533,-5.3103252,-5.9026768,-5.7169306,-7.6514672,-4.2424011,-5.3537421,-8.0541737,-5.2132365,-7.2471489,-7.9652393,-5.1804454,-7.3961493,-3.9242612,-6.2475862,-5.9109869,-6.2707813,-4.6548614,-4.5206665,-5.0663164,-6.3534259,-5.1403651,-6.2613019,-5.5215704,-6.653405,-6.2800147,-6.6028743,-5.4433436,-6.5684691,-4.5920684
2000-02-09,-8.8860599,-5.1745174,-5.8037473,-5.5735878,-7.1391632,-4.1959121,-5.186855,-7.8251808,-5.0617828,-7.1770777,-7.8256541,-5.4684937,-6.2071439,-3.7543134,-6.3156537,-5.7442596,-6.4019755,-4.3498468,-4.3985863,-5.2647184,-23.3157864,-5.0482207,-6.4265676,-5.3609418,-6.279116,-5.9871804,-7.7339535,-5.3093829,-7.6475802,-4.6246528
